Municipio,Categoria,Tipo,Valor,Year,Isla
ALGAIDA,HA 2*,ESTABL.,NA,23,Mallorca
ALGAIDA,HA 2*,PLACES,NA,23,Mallorca
ALGAIDA,HA 3*,ESTABL.,NA,23,Mallorca
ALGAIDA,HA 3*,PLACES,NA,23,Mallorca
ALGAIDA,HA 3* SUP,ESTABL.,NA,23,Mallorca
ALGAIDA,HA 3* SUP,PLACES,NA,23,Mallorca
ALGAIDA,HA 4*,ESTABL.,NA,23,Mallorca
ALGAIDA,HA 4*,PLACES,NA,23,Mallorca
ALGAIDA,HA 4* SUP,ESTABL.,NA,23,Mallorca
ALGAIDA,HA 4* SUP,PLACES,NA,23,Mallorca
ALGAIDA,HA 5*,ESTABL.,NA,23,Mallorca
ALGAIDA,HA 5*,PLACES,NA,23,Mallorca
ALGAIDA,HO,ESTABL.,1,23,Mallorca
ALGAIDA,HO,PLACES,64,23,Mallorca
ALGAIDA,HR 5*,ESTABL.,NA,23,Mallorca
ALGAIDA,HR 5*,PLACES,NA,23,Mallorca
ALGAIDA,HR,ESTABL.,1,23,Mallorca
ALGAIDA,HR,PLACES,31,23,Mallorca
ALGAIDA,HS 1*,ESTABL.,NA,23,Mallorca
ALGAIDA,HS 1*,PLACES,NA,23,Mallorca
ALGAIDA,HS 2*,ESTABL.,NA,23,Mallorca
ALGAIDA,HS 2*,PLACES,NA,23,Mallorca
ALGAIDA,HS 3*,ESTABL.,NA,23,Mallorca
ALGAIDA,HS 3*,PLACES,NA,23,Mallorca
ALGAIDA,HSR 1*,ESTABL.,NA,23,Mallorca
ALGAIDA,HSR 1*,PLACES,NA,23,Mallorca
ALGAIDA,HSR 2*,ESTABL.,NA,23,Mallorca
ALGAIDA,HSR 2*,PLACES,NA,23,Mallorca
ALGAIDA,HSR 3*,ESTABL.,NA,23,Mallorca
ALGAIDA,HSR 3*,PLACES,NA,23,Mallorca
ALGAIDA,PENS 2*,ESTABL.,NA,23,Mallorca
ALGAIDA,PENS 2*,PLACES,NA,23,Mallorca
ALGAIDA,TI,ESTABL.,2,23,Mallorca
ALGAIDA,TI,PLACES,26,23,Mallorca
ALGAIDA,TOTAL,ESTABL.,8,23,Mallorca
ALGAIDA,TOTAL,PLACES,215,23,Mallorca
ANDRATX,A 1 Ll,ESTABL.,1,23,Mallorca
ANDRATX,A 1 Ll,PLACES,54,23,Mallorca
ANDRATX,A 2 Ll,ESTABL.,1,23,Mallorca
ANDRATX,A 2 Ll,PLACES,98,23,Mallorca
ANDRATX,A 3 Ll,ESTABL.,1,23,Mallorca
ANDRATX,A 3 Ll,PLACES,414,23,Mallorca
ANDRATX,A 3 Ll SUP,ESTABL.,NA,23,Mallorca
ANDRATX,A 3 Ll SUP,PLACES,NA,23,Mallorca
ANDRATX,A 4 Ll,ESTABL.,NA,23,Mallorca
ANDRATX,A 4 Ll,PLACES,NA,23,Mallorca
ANDRATX,A 4 Ll SUP,ESTABL.,NA,23,Mallorca
ANDRATX,A 4 Ll SUP,PLACES,NA,23,Mallorca
ANDRATX,AG,ESTABL.,1,23,Mallorca
ANDRATX,AG,PLACES,14,23,Mallorca
ANDRATX,CH,ESTABL.,NA,23,Mallorca
ANDRATX,CH,PLACES,NA,23,Mallorca
ANDRATX,CT,ESTABL.,NA,23,Mallorca
ANDRATX,CT,PLACES,NA,23,Mallorca
ANDRATX,F,ESTABL.,NA,23,Mallorca
ANDRATX,F,PLACES,NA,23,Mallorca
ANDRATX,H 1*,ESTABL.,NA,23,Mallorca
ANDRATX,H 1*,PLACES,NA,23,Mallorca
ANDRATX,H 2*,ESTABL.,NA,23,Mallorca
ANDRATX,H 2*,PLACES,NA,23,Mallorca
ANDRATX,H 3*,ESTABL.,1,23,Mallorca
ANDRATX,H 3*,PLACES,109,23,Mallorca
ANDRATX,H 3*SUP,ESTABL.,NA,23,Mallorca
ANDRATX,H 3*SUP,PLACES,NA,23,Mallorca
ANDRATX,H 4*,ESTABL.,4,23,Mallorca
ANDRATX,H 4*,PLACES,1658,23,Mallorca
ANDRATX,H 4* SUP,ESTABL.,2,23,Mallorca
ANDRATX,H 4* SUP,PLACES,287,23,Mallorca
ANDRATX,H 5*,ESTABL.,2,23,Mallorca
ANDRATX,H 5*,PLACES,946,23,Mallorca
ANDRATX,H 5* G.L.,ESTABL.,NA,23,Mallorca
ANDRATX,H 5* G.L.,PLACES,NA,23,Mallorca
ANDRATX,HA 1*,ESTABL.,NA,23,Mallorca
ANDRATX,HA 1*,PLACES,NA,23,Mallorca
ANDRATX,HA 2*,ESTABL.,NA,23,Mallorca
ANDRATX,HA 2*,PLACES,NA,23,Mallorca
ANDRATX,HA 3*,ESTABL.,NA,23,Mallorca
ANDRATX,HA 3*,PLACES,NA,23,Mallorca
ANDRATX,HA 3* SUP,ESTABL.,NA,23,Mallorca
ANDRATX,HA 3* SUP,PLACES,NA,23,Mallorca
ANDRATX,HA 4*,ESTABL.,3,23,Mallorca
ANDRATX,HA 4*,PLACES,616,23,Mallorca
ANDRATX,HA 4* SUP,ESTABL.,NA,23,Mallorca
ANDRATX,HA 4* SUP,PLACES,NA,23,Mallorca
ANDRATX,HA 5*,ESTABL.,NA,23,Mallorca
ANDRATX,HA 5*,PLACES,NA,23,Mallorca
ANDRATX,HO,ESTABL.,NA,23,Mallorca
ANDRATX,HO,PLACES,NA,23,Mallorca
ANDRATX,HR 5*,ESTABL.,NA,23,Mallorca
ANDRATX,HR 5*,PLACES,NA,23,Mallorca
ANDRATX,HR,ESTABL.,NA,23,Mallorca
ANDRATX,HR,PLACES,NA,23,Mallorca
ANDRATX,HS 1*,ESTABL.,1,23,Mallorca
ANDRATX,HS 1*,PLACES,40,23,Mallorca
ANDRATX,HS 2*,ESTABL.,NA,23,Mallorca
ANDRATX,HS 2*,PLACES,NA,23,Mallorca
ANDRATX,HS 3*,ESTABL.,NA,23,Mallorca
ANDRATX,HS 3*,PLACES,NA,23,Mallorca
ANDRATX,HSR 1*,ESTABL.,NA,23,Mallorca
ANDRATX,HSR 1*,PLACES,NA,23,Mallorca
ANDRATX,HSR 2*,ESTABL.,1,23,Mallorca
ANDRATX,HSR 2*,PLACES,28,23,Mallorca
ANDRATX,HSR 3*,ESTABL.,NA,23,Mallorca
ANDRATX,HSR 3*,PLACES,NA,23,Mallorca
ANDRATX,PENS 2*,ESTABL.,NA,23,Mallorca
ANDRATX,PENS 2*,PLACES,NA,23,Mallorca
ANDRATX,TI,ESTABL.,2,23,Mallorca
ANDRATX,TI,PLACES,22,23,Mallorca
ANDRATX,TOTAL,ESTABL.,20,23,Mallorca
ANDRATX,TOTAL,PLACES,4286,23,Mallorca
ARIANY,A 1 Ll,ESTABL.,NA,23,Mallorca
ARIANY,A 1 Ll,PLACES,NA,23,Mallorca
ARIANY,A 2 Ll,ESTABL.,NA,23,Mallorca
ARIANY,A 2 Ll,PLACES,NA,23,Mallorca
ARIANY,A 3 Ll,ESTABL.,NA,23,Mallorca
ARIANY,A 3 Ll,PLACES,NA,23,Mallorca
ARIANY,A 3 Ll SUP,ESTABL.,NA,23,Mallorca
ARIANY,A 3 Ll SUP,PLACES,NA,23,Mallorca
ARIANY,A 4 Ll,ESTABL.,NA,23,Mallorca
ARIANY,A 4 Ll,PLACES,NA,23,Mallorca
ARIANY,A 4 Ll SUP,ESTABL.,NA,23,Mallorca
ARIANY,A 4 Ll SUP,PLACES,NA,23,Mallorca
ARIANY,AG,ESTABL.,1,23,Mallorca
ARIANY,AG,PLACES,22,23,Mallorca
ARIANY,CH,ESTABL.,NA,23,Mallorca
ARIANY,CH,PLACES,NA,23,Mallorca
ARIANY,CT,ESTABL.,NA,23,Mallorca
ARIANY,CT,PLACES,NA,23,Mallorca
ARIANY,F,ESTABL.,NA,23,Mallorca
ARIANY,F,PLACES,NA,23,Mallorca
ARIANY,H 1*,ESTABL.,NA,23,Mallorca
ARIANY,H 1*,PLACES,NA,23,Mallorca
ARIANY,H 2*,ESTABL.,NA,23,Mallorca
