Variables;n_componentes;rho;phi_1;sigma2;MAPE;RMSE_rel
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, Gas_arima, Capital_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,998369139906549;9,12680263310230;0,134887533028009;0,239194914392645
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, NumeroSociedades_arima, Carbón y derivados_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;7,21585367395060;0,165976353117821;0,239411838165240
Total_arima, ConsumoEuros_arima, NumeroSociedades_arima, Carbón y derivados_arima, Capital_arima;3;-0,938726683531158;0,998890287113881;7,91433948157967;0,268206192444550;0,239412160549549
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, NumeroSociedades_arima, Gas_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;7,04893297283281;0,168323595164520;0,239560265150678
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, NumeroSociedades_arima, Capital_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;7,16395338219561;0,153172006991522;0,239637038003906
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, Carbón y derivados_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,997913224863099;10,74880228332154;0,135819679456298;0,239835786718642
Total_arima, ConsumoEuros_arima, PobTotal_arima, NumeroSociedades_arima, Electricidad_arima, Carbón y derivados_arima, Gas_arima;3;-0,999000000000000;0,999000000000000;6,78990424517682;0,274043381031195;0,240151623251834
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, NumeroSociedades_arima, Electricidad_arima, Capital_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;7,43605210702120;0,262126749434841;0,240506396837038
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, NumeroSociedades_arima, Gas_arima, Capital_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;7,13836455081235;0,153626782017000;0,240824981978995
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, Electricidad_arima, Carbón y derivados_arima, Gas_arima;3;-0,999000000000000;0,998022141862979;10,69416505052907;0,163159520292167;0,241501634891626
