Total Nacional;Comunidades y Ciudades Autónomas;Producto consumido;Período;Total
Total Nacional;13 Madrid Comunidad de;Carbón y coque;2023;379
Total Nacional;13 Madrid Comunidad de;Carbón y coque;2022;125
Total Nacional;13 Madrid Comunidad de;Carbón y coque;2021;7092
Total Nacional;13 Madrid Comunidad de;Carbón y coque;2019;6971
Total Nacional;13 Madrid Comunidad de;Carbón y coque;2017;12479
Total Nacional;13 Madrid Comunidad de;Carbón y coque;2015;7019
Total Nacional;13 Madrid Comunidad de;Biocombustibles;2023;2590
Total Nacional;13 Madrid Comunidad de;Biocombustibles;2022;2460
Total Nacional;13 Madrid Comunidad de;Biocombustibles;2021;591
Total Nacional;13 Madrid Comunidad de;Biocombustibles;2019;1392
Total Nacional;13 Madrid Comunidad de;Biocombustibles;2017;991
Total Nacional;13 Madrid Comunidad de;Biocombustibles;2015;2128
Total Nacional;13 Madrid Comunidad de;Calor y otros consumos energéticos;2023;8083
Total Nacional;13 Madrid Comunidad de;Calor y otros consumos energéticos;2022;11158
Total Nacional;13 Madrid Comunidad de;Calor y otros consumos energéticos;2021;8672
Total Nacional;13 Madrid Comunidad de;Calor y otros consumos energéticos;2019;4198
Total Nacional;13 Madrid Comunidad de;Calor y otros consumos energéticos;2017;3700
Total Nacional;13 Madrid Comunidad de;Calor y otros consumos energéticos;2015;8348
Total Nacional;13 Madrid Comunidad de;Total consumos energéticos;2023;674400
Total Nacional;13 Madrid Comunidad de;Total consumos energéticos;2022;925804
Total Nacional;13 Madrid Comunidad de;Total consumos energéticos;2021;598315
Total Nacional;13 Madrid Comunidad de;Total consumos energéticos;2019;525749
Total Nacional;13 Madrid Comunidad de;Total consumos energéticos;2017;471356
Total Nacional;13 Madrid Comunidad de;Total consumos energéticos;2015;499950
Total Nacional;14 Murcia Región de;Electricidad;2023;265647
Total Nacional;14 Murcia Región de;Electricidad;2022;482986
Total Nacional;14 Murcia Región de;Electricidad;2021;293225
Total Nacional;14 Murcia Región de;Electricidad;2019;209575
Total Nacional;14 Murcia Región de;Electricidad;2017;255958
Total Nacional;14 Murcia Región de;Electricidad;2015;193693
Total Nacional;14 Murcia Región de;Gas;2023;168112
Total Nacional;14 Murcia Región de;Gas;2022;294992
Total Nacional;14 Murcia Región de;Gas;2021;156452
Total Nacional;14 Murcia Región de;Gas;2019;128700
Total Nacional;14 Murcia Región de;Gas;2017;152001
Total Nacional;14 Murcia Región de;Gas;2015;151933
Total Nacional;14 Murcia Región de;Gasóleo;2023;32724
Total Nacional;14 Murcia Región de;Gasóleo;2022;35289
Total Nacional;14 Murcia Región de;Gasóleo;2021;27445
Total Nacional;14 Murcia Región de;Gasóleo;2019;24256
Total Nacional;14 Murcia Región de;Gasóleo;2017;24980
Total Nacional;14 Murcia Región de;Gasóleo;2015;22418
Total Nacional;14 Murcia Región de;Fueloil;2023;863
Total Nacional;14 Murcia Región de;Fueloil;2022;1530
Total Nacional;14 Murcia Región de;Fueloil;2021;2092
Total Nacional;14 Murcia Región de;Fueloil;2019;2327
Total Nacional;14 Murcia Región de;Fueloil;2017;1777
Total Nacional;14 Murcia Región de;Fueloil;2015;775
Total Nacional;14 Murcia Región de;Otros productos petrolíferos;2023;6252
Total Nacional;14 Murcia Región de;Otros productos petrolíferos;2022;5432
Total Nacional;14 Murcia Región de;Otros productos petrolíferos;2021;2807
Total Nacional;14 Murcia Región de;Otros productos petrolíferos;2019;4302
Total Nacional;14 Murcia Región de;Otros productos petrolíferos;2017;4946
Total Nacional;14 Murcia Región de;Otros productos petrolíferos;2015;1443
Total Nacional;14 Murcia Región de;Carbón y coque;2023;40
Total Nacional;14 Murcia Región de;Carbón y coque;2022;16
Total Nacional;14 Murcia Región de;Carbón y coque;2021;728
Total Nacional;14 Murcia Región de;Carbón y coque;2019;673
Total Nacional;14 Murcia Región de;Carbón y coque;2017;499
Total Nacional;14 Murcia Región de;Carbón y coque;2015;1100
Total Nacional;14 Murcia Región de;Biocombustibles;2023;1937
Total Nacional;14 Murcia Región de;Biocombustibles;2022;2555
Total Nacional;14 Murcia Región de;Biocombustibles;2021;2058
Total Nacional;14 Murcia Región de;Biocombustibles;2019;501
Total Nacional;14 Murcia Región de;Biocombustibles;2017;815
Total Nacional;14 Murcia Región de;Biocombustibles;2015;255
Total Nacional;14 Murcia Región de;Calor y otros consumos energéticos;2023;85369
Total Nacional;14 Murcia Región de;Calor y otros consumos energéticos;2022;303563
Total Nacional;14 Murcia Región de;Calor y otros consumos energéticos;2021;171812
Total Nacional;14 Murcia Región de;Calor y otros consumos energéticos;2019;68220
Total Nacional;14 Murcia Región de;Calor y otros consumos energéticos;2017;33240
Total Nacional;14 Murcia Región de;Calor y otros consumos energéticos;2015;23792
Total Nacional;14 Murcia Región de;Total consumos energéticos;2023;560942
Total Nacional;14 Murcia Región de;Total consumos energéticos;2022;1126363
Total Nacional;14 Murcia Región de;Total consumos energéticos;2021;656619
Total Nacional;14 Murcia Región de;Total consumos energéticos;2019;438553
Total Nacional;14 Murcia Región de;Total consumos energéticos;2017;474217
Total Nacional;14 Murcia Región de;Total consumos energéticos;2015;395409
Total Nacional;15 Navarra Comunidad Foral de;Electricidad;2023;325085
Total Nacional;15 Navarra Comunidad Foral de;Electricidad;2022;521745
Total Nacional;15 Navarra Comunidad Foral de;Electricidad;2021;303979
Total Nacional;15 Navarra Comunidad Foral de;Electricidad;2019;236759
Total Nacional;15 Navarra Comunidad Foral de;Electricidad;2017;214039
Total Nacional;15 Navarra Comunidad Foral de;Electricidad;2015;212486
Total Nacional;15 Navarra Comunidad Foral de;Gas;2023;164258
Total Nacional;15 Navarra Comunidad Foral de;Gas;2022;217558
Total Nacional;15 Navarra Comunidad Foral de;Gas;2021;116784
Total Nacional;15 Navarra Comunidad Foral de;Gas;2019;99933
Total Nacional;15 Navarra Comunidad Foral de;Gas;2017;87860
Total Nacional;15 Navarra Comunidad Foral de;Gas;2015;99538
Total Nacional;15 Navarra Comunidad Foral de;Gasóleo;2023;16474
Total Nacional;15 Navarra Comunidad Foral de;Gasóleo;2022;25425
Total Nacional;15 Navarra Comunidad Foral de;Gasóleo;2021;10107
Total Nacional;15 Navarra Comunidad Foral de;Gasóleo;2019;17710
Total Nacional;15 Navarra Comunidad Foral de;Gasóleo;2017;16579
Total Nacional;15 Navarra Comunidad Foral de;Gasóleo;2015;17221
Total Nacional;15 Navarra Comunidad Foral de;Fueloil;2023;833
Total Nacional;15 Navarra Comunidad Foral de;Fueloil;2022;10322
Total Nacional;15 Navarra Comunidad Foral de;Fueloil;2021;1201
Total Nacional;15 Navarra Comunidad Foral de;Fueloil;2019;1650
Total Nacional;15 Navarra Comunidad Foral de;Fueloil;2017;1005
Total Nacional;15 Navarra Comunidad Foral de;Fueloil;2015;596
Total Nacional;15 Navarra Comunidad Foral de;Otros productos petrolíferos;2023;29067
Total Nacional;15 Navarra Comunidad Foral de;Otros productos petrolíferos;2022;30123
Total Nacional;15 Navarra Comunidad Foral de;Otros productos petrolíferos;2021;1858
Total Nacional;15 Navarra Comunidad Foral de;Otros productos petrolíferos;2019;2162
Total Nacional;15 Navarra Comunidad Foral de;Otros productos petrolíferos;2017;2078
Total Nacional;15 Navarra Comunidad Foral de;Otros productos petrolíferos;2015;1325
Total Nacional;15 Navarra Comunidad Foral de;Carbón y coque;2023;19144
Total Nacional;15 Navarra Comunidad Foral de;Carbón y coque;2022;29113
Total Nacional;15 Navarra Comunidad Foral de;Carbón y coque;2021;19748
Total Nacional;15 Navarra Comunidad Foral de;Carbón y coque;2019;19097
Total Nacional;15 Navarra Comunidad Foral de;Carbón y coque;2017;16608
Total Nacional;15 Navarra Comunidad Foral de;Carbón y coque;2015;15680
Total Nacional;15 Navarra Comunidad Foral de;Biocombustibles;2023;17727
Total Nacional;15 Navarra Comunidad Foral de;Biocombustibles;2022;14374
Total Nacional;15 Navarra Comunidad Foral de;Biocombustibles;2021;941
Total Nacional;15 Navarra Comunidad Foral de;Biocombustibles;2019;5922
Total Nacional;15 Navarra Comunidad Foral de;Biocombustibles;2017;2246
Total Nacional;15 Navarra Comunidad Foral de;Biocombustibles;2015;857
Total Nacional;15 Navarra Comunidad Foral de;Calor y otros consumos energéticos;2023;7807
Total Nacional;15 Navarra Comunidad Foral de;Calor y otros consumos energéticos;2022;9929
Total Nacional;15 Navarra Comunidad Foral de;Calor y otros consumos energéticos;2021;9745
Total Nacional;15 Navarra Comunidad Foral de;Calor y otros consumos energéticos;2019;6872
Total Nacional;15 Navarra Comunidad Foral de;Calor y otros consumos energéticos;2017;4276
Total Nacional;15 Navarra Comunidad Foral de;Calor y otros consumos energéticos;2015;6184
Total Nacional;15 Navarra Comunidad Foral de;Total consumos energéticos;2023;580393
Total Nacional;15 Navarra Comunidad Foral de;Total consumos energéticos;2022;858589
Total Nacional;15 Navarra Comunidad Foral de;Total consumos energéticos;2021;464362
Total Nacional;15 Navarra Comunidad Foral de;Total consumos energéticos;2019;390107
Total Nacional;15 Navarra Comunidad Foral de;Total consumos energéticos;2017;344689
Total Nacional;15 Navarra Comunidad Foral de;Total consumos energéticos;2015;353888
Total Nacional;16 País Vasco;Electricidad;2023;882204
Total Nacional;16 País Vasco;Electricidad;2022;1435585
Total Nacional;16 País Vasco;Electricidad;2021;940939
Total Nacional;16 País Vasco;Electricidad;2019;608529
Total Nacional;16 País Vasco;Electricidad;2017;658736
Total Nacional;16 País Vasco;Electricidad;2015;674658
Total Nacional;16 País Vasco;Gas;2023;501777
Total Nacional;16 País Vasco;Gas;2022;776666
Total Nacional;16 País Vasco;Gas;2021;364618
Total Nacional;16 País Vasco;Gas;2019;335829
Total Nacional;16 País Vasco;Gas;2017;262444
Total Nacional;16 País Vasco;Gas;2015;371700
Total Nacional;16 País Vasco;Gasóleo;2023;27506
Total Nacional;16 País Vasco;Gasóleo;2022;37165
Total Nacional;16 País Vasco;Gasóleo;2021;21203
Total Nacional;16 País Vasco;Gasóleo;2019;23945
Total Nacional;16 País Vasco;Gasóleo;2017;25649
Total Nacional;16 País Vasco;Gasóleo;2015;25770
Total Nacional;16 País Vasco;Fueloil;2023;2296
Total Nacional;16 País Vasco;Fueloil;2022;641
Total Nacional;16 País Vasco;Fueloil;2021;2792
Total Nacional;16 País Vasco;Fueloil;2019;3450
Total Nacional;16 País Vasco;Fueloil;2017;2127
Total Nacional;16 País Vasco;Fueloil;2015;1025
Total Nacional;16 País Vasco;Otros productos petrolíferos;2023;22183
Total Nacional;16 País Vasco;Otros productos petrolíferos;2022;24657
Total Nacional;16 País Vasco;Otros productos petrolíferos;2021;5674
Total Nacional;16 País Vasco;Otros productos petrolíferos;2019;6818
Total Nacional;16 País Vasco;Otros productos petrolíferos;2017;5785
Total Nacional;16 País Vasco;Otros productos petrolíferos;2015;4773
Total Nacional;16 País Vasco;Carbón y coque;2023;1658
Total Nacional;16 País Vasco;Carbón y coque;2022;4268
Total Nacional;16 País Vasco;Carbón y coque;2021;4787
Total Nacional;16 País Vasco;Carbón y coque;2019;385
Total Nacional;16 País Vasco;Carbón y coque;2017;6670
Total Nacional;16 País Vasco;Carbón y coque;2015;4695
Total Nacional;16 País Vasco;Biocombustibles;2023;4110
Total Nacional;16 País Vasco;Biocombustibles;2022;2884
Total Nacional;16 País Vasco;Biocombustibles;2021;1680
Total Nacional;16 País Vasco;Biocombustibles;2019;1352
Total Nacional;16 País Vasco;Biocombustibles;2017;4918
Total Nacional;16 País Vasco;Biocombustibles;2015;1105
Total Nacional;16 País Vasco;Calor y otros consumos energéticos;2023;32062
Total Nacional;16 País Vasco;Calor y otros consumos energéticos;2022;72340
Total Nacional;16 País Vasco;Calor y otros consumos energéticos;2021;27092
Total Nacional;16 País Vasco;Calor y otros consumos energéticos;2019;44888
Total Nacional;16 País Vasco;Calor y otros consumos energéticos;2017;25938
Total Nacional;16 País Vasco;Calor y otros consumos energéticos;2015;19798
Total Nacional;16 País Vasco;Total consumos energéticos;2023;1473796
Total Nacional;16 País Vasco;Total consumos energéticos;2022;2354204
Total Nacional;16 País Vasco;Total consumos energéticos;2021;1368783
Total Nacional;16 País Vasco;Total consumos energéticos;2019;1025196
Total Nacional;16 País Vasco;Total consumos energéticos;2017;992267
Total Nacional;16 País Vasco;Total consumos energéticos;2015;1103523
Total Nacional;17 Rioja La;Electricidad;2023;72281
Total Nacional;17 Rioja La;Electricidad;2022;109882
Total Nacional;17 Rioja La;Electricidad;2021;52543
Total Nacional;17 Rioja La;Electricidad;2019;48249
Total Nacional;17 Rioja La;Electricidad;2017;44637
Total Nacional;17 Rioja La;Electricidad;2015;44195
Total Nacional;17 Rioja La;Gas;2023;31652
Total Nacional;17 Rioja La;Gas;2022;43271
Total Nacional;17 Rioja La;Gas;2021;19298
Total Nacional;17 Rioja La;Gas;2019;18101
Total Nacional;17 Rioja La;Gas;2017;14817
Total Nacional;17 Rioja La;Gas;2015;13871
Total Nacional;17 Rioja La;Gasóleo;2023;10465
Total Nacional;17 Rioja La;Gasóleo;2022;11096
Total Nacional;17 Rioja La;Gasóleo;2021;8899
Total Nacional;17 Rioja La;Gasóleo;2019;9105
Total Nacional;17 Rioja La;Gasóleo;2017;6958
Total Nacional;17 Rioja La;Gasóleo;2015;7227
Total Nacional;17 Rioja La;Fueloil;2023;370
Total Nacional;17 Rioja La;Fueloil;2022;469
Total Nacional;17 Rioja La;Fueloil;2021;231
Total Nacional;17 Rioja La;Fueloil;2019;700
Total Nacional;17 Rioja La;Fueloil;2017;436
Total Nacional;17 Rioja La;Fueloil;2015;2714
Total Nacional;17 Rioja La;Otros productos petrolíferos;2023;1993
Total Nacional;17 Rioja La;Otros productos petrolíferos;2022;2485
Total Nacional;17 Rioja La;Otros productos petrolíferos;2021;1202
Total Nacional;17 Rioja La;Otros productos petrolíferos;2019;581
Total Nacional;17 Rioja La;Otros productos petrolíferos;2017;1651
Total Nacional;17 Rioja La;Otros productos petrolíferos;2015;805
Total Nacional;17 Rioja La;Carbón y coque;2023;0
Total Nacional;17 Rioja La;Carbón y coque;2022;82
Total Nacional;17 Rioja La;Carbón y coque;2021;95
Total Nacional;17 Rioja La;Carbón y coque;2019;110
Total Nacional;17 Rioja La;Carbón y coque;2017;7
Total Nacional;17 Rioja La;Carbón y coque;2015;113
Total Nacional;17 Rioja La;Biocombustibles;2023;834
Total Nacional;17 Rioja La;Biocombustibles;2022;233
Total Nacional;17 Rioja La;Biocombustibles;2021;251
Total Nacional;17 Rioja La;Biocombustibles;2019;304
Total Nacional;17 Rioja La;Biocombustibles;2017;56
Total Nacional;17 Rioja La;Biocombustibles;2015;226
Total Nacional;17 Rioja La;Calor y otros consumos energéticos;2023;1040
Total Nacional;17 Rioja La;Calor y otros consumos energéticos;2022;927
Total Nacional;17 Rioja La;Calor y otros consumos energéticos;2021;366
Total Nacional;17 Rioja La;Calor y otros consumos energéticos;2019;842
Total Nacional;17 Rioja La;Calor y otros consumos energéticos;2017;566
Total Nacional;17 Rioja La;Calor y otros consumos energéticos;2015;1085
Total Nacional;17 Rioja La;Total consumos energéticos;2023;118635
Total Nacional;17 Rioja La;Total consumos energéticos;2022;168446
Total Nacional;17 Rioja La;Total consumos energéticos;2021;82886
Total Nacional;17 Rioja La;Total consumos energéticos;2019;77993
Total Nacional;17 Rioja La;Total consumos energéticos;2017;69126
Total Nacional;17 Rioja La;Total consumos energéticos;2015;70235
Total Nacional;18 Ceuta;Electricidad;2023;
Total Nacional;18 Ceuta;Electricidad;2022;
Total Nacional;18 Ceuta;Electricidad;2021;
Total Nacional;18 Ceuta;Electricidad;2019;215
Total Nacional;18 Ceuta;Electricidad;2017;
Total Nacional;18 Ceuta;Electricidad;2015;
Total Nacional;18 Ceuta;Gas;2023;
Total Nacional;18 Ceuta;Gas;2022;
Total Nacional;18 Ceuta;Gas;2021;
Total Nacional;18 Ceuta;Gas;2019;70
Total Nacional;18 Ceuta;Gas;2017;
Total Nacional;18 Ceuta;Gas;2015;
Total Nacional;18 Ceuta;Gasóleo;2023;
Total Nacional;18 Ceuta;Gasóleo;2022;
Total Nacional;18 Ceuta;Gasóleo;2021;
Total Nacional;18 Ceuta;Gasóleo;2019;25
Total Nacional;18 Ceuta;Gasóleo;2017;
Total Nacional;18 Ceuta;Gasóleo;2015;
Total Nacional;18 Ceuta;Fueloil;2023;
Total Nacional;18 Ceuta;Fueloil;2022;
Total Nacional;18 Ceuta;Fueloil;2021;
Total Nacional;18 Ceuta;Fueloil;2019;0
Total Nacional;18 Ceuta;Fueloil;2017;
Total Nacional;18 Ceuta;Fueloil;2015;
Total Nacional;18 Ceuta;Otros productos petrolíferos;2023;
Total Nacional;18 Ceuta;Otros productos petrolíferos;2022;
Total Nacional;18 Ceuta;Otros productos petrolíferos;2021;
Total Nacional;18 Ceuta;Otros productos petrolíferos;2019;11
Total Nacional;18 Ceuta;Otros productos petrolíferos;2017;
Total Nacional;18 Ceuta;Otros productos petrolíferos;2015;
Total Nacional;18 Ceuta;Carbón y coque;2023;
Total Nacional;18 Ceuta;Carbón y coque;2022;
Total Nacional;18 Ceuta;Carbón y coque;2021;
Total Nacional;18 Ceuta;Carbón y coque;2019;0
Total Nacional;18 Ceuta;Carbón y coque;2017;
Total Nacional;18 Ceuta;Carbón y coque;2015;
Total Nacional;18 Ceuta;Biocombustibles;2023;
Total Nacional;18 Ceuta;Biocombustibles;2022;
Total Nacional;18 Ceuta;Biocombustibles;2021;
Total Nacional;18 Ceuta;Biocombustibles;2019;0
Total Nacional;18 Ceuta;Biocombustibles;2017;
Total Nacional;18 Ceuta;Biocombustibles;2015;
Total Nacional;18 Ceuta;Calor y otros consumos energéticos;2023;
Total Nacional;18 Ceuta;Calor y otros consumos energéticos;2022;
Total Nacional;18 Ceuta;Calor y otros consumos energéticos;2021;
Total Nacional;18 Ceuta;Calor y otros consumos energéticos;2019;0
Total Nacional;18 Ceuta;Calor y otros consumos energéticos;2017;
Total Nacional;18 Ceuta;Calor y otros consumos energéticos;2015;
Total Nacional;18 Ceuta;Total consumos energéticos;2023;
Total Nacional;18 Ceuta;Total consumos energéticos;2022;
Total Nacional;18 Ceuta;Total consumos energéticos;2021;
Total Nacional;18 Ceuta;Total consumos energéticos;2019;321
Total Nacional;18 Ceuta;Total consumos energéticos;2017;
Total Nacional;18 Ceuta;Total consumos energéticos;2015;
Total Nacional;19 Melilla;Electricidad;2023;
Total Nacional;19 Melilla;Electricidad;2022;
Total Nacional;19 Melilla;Electricidad;2021;
Total Nacional;19 Melilla;Electricidad;2019;74
Total Nacional;19 Melilla;Electricidad;2017;
Total Nacional;19 Melilla;Electricidad;2015;
Total Nacional;19 Melilla;Gas;2023;
Total Nacional;19 Melilla;Gas;2022;
Total Nacional;19 Melilla;Gas;2021;
Total Nacional;19 Melilla;Gas;2019;9
Total Nacional;19 Melilla;Gas;2017;
Total Nacional;19 Melilla;Gas;2015;
Total Nacional;19 Melilla;Gasóleo;2023;
Total Nacional;19 Melilla;Gasóleo;2022;
Total Nacional;19 Melilla;Gasóleo;2021;
Total Nacional;19 Melilla;Gasóleo;2019;102
Total Nacional;19 Melilla;Gasóleo;2017;
Total Nacional;19 Melilla;Gasóleo;2015;
Total Nacional;19 Melilla;Fueloil;2023;
Total Nacional;19 Melilla;Fueloil;2022;
Total Nacional;19 Melilla;Fueloil;2021;
Total Nacional;19 Melilla;Fueloil;2019;0
Total Nacional;19 Melilla;Fueloil;2017;
Total Nacional;19 Melilla;Fueloil;2015;
Total Nacional;19 Melilla;Otros productos petrolíferos;2023;
Total Nacional;19 Melilla;Otros productos petrolíferos;2022;
Total Nacional;19 Melilla;Otros productos petrolíferos;2021;
Total Nacional;19 Melilla;Otros productos petrolíferos;2019;7
Total Nacional;19 Melilla;Otros productos petrolíferos;2017;
Total Nacional;19 Melilla;Otros productos petrolíferos;2015;
Total Nacional;19 Melilla;Carbón y coque;2023;
Total Nacional;19 Melilla;Carbón y coque;2022;
Total Nacional;19 Melilla;Carbón y coque;2021;
Total Nacional;19 Melilla;Carbón y coque;2019;2
Total Nacional;19 Melilla;Carbón y coque;2017;
Total Nacional;19 Melilla;Carbón y coque;2015;
Total Nacional;19 Melilla;Biocombustibles;2023;
Total Nacional;19 Melilla;Biocombustibles;2022;
Total Nacional;19 Melilla;Biocombustibles;2021;
Total Nacional;19 Melilla;Biocombustibles;2019;0
Total Nacional;19 Melilla;Biocombustibles;2017;
Total Nacional;19 Melilla;Biocombustibles;2015;
Total Nacional;19 Melilla;Calor y otros consumos energéticos;2023;
Total Nacional;19 Melilla;Calor y otros consumos energéticos;2022;
Total Nacional;19 Melilla;Calor y otros consumos energéticos;2021;
Total Nacional;19 Melilla;Calor y otros consumos energéticos;2019;4
Total Nacional;19 Melilla;Calor y otros consumos energéticos;2017;
Total Nacional;19 Melilla;Calor y otros consumos energéticos;2015;
Total Nacional;19 Melilla;Total consumos energéticos;2023;
Total Nacional;19 Melilla;Total consumos energéticos;2022;
Total Nacional;19 Melilla;Total consumos energéticos;2021;
Total Nacional;19 Melilla;Total consumos energéticos;2019;199
Total Nacional;19 Melilla;Total consumos energéticos;2017;
Total Nacional;19 Melilla;Total consumos energéticos;2015;
Total nacional;;Carbón y derivados;2001;232378
Total nacional;;Gasóleo;2001;681901
Total nacional;;Fueloil;2001;409354
Total nacional;;Otros productos petrolíferos;2001;177752
Total nacional;;Gas;2001;1792554
Total nacional;;Electricidad;2001;3285018
Total nacional;;Otros consumos energéticos;2001;242569
Total nacional;;Total consumos energéticos;2001;6821527
Total nacional;Andalucía;Carbón y derivados;2001;28293
Total nacional;Andalucía;Gasóleo;2001;75539
Total nacional;Andalucía;Fueloil;2001;56835
Total nacional;Andalucía;Otros productos petrolíferos;2001;23118
Total nacional;Andalucía;Gas;2001;159719
Total nacional;Andalucía;Electricidad;2001;290669
Total nacional;Andalucía;Otros consumos energéticos;2001;24702
Total nacional;Andalucía;Total consumos energéticos;2001;658876
Total nacional;Aragón;Carbón y derivados;2001;4882
Total nacional;Aragón;Gasóleo;2001;34540
Total nacional;Aragón;Fueloil;2001;14695
Total nacional;Aragón;Otros productos petrolíferos;2001;8524
Total nacional;Aragón;Gas;2001;104079
Total nacional;Aragón;Electricidad;2001;128935
Total nacional;Aragón;Otros consumos energéticos;2001;8095
Total nacional;Aragón;Total consumos energéticos;2001;303750
Total nacional;Asturias Principado de;Carbón y derivados;2001;17578
Total nacional;Asturias Principado de;Gasóleo;2001;14535
Total nacional;Asturias Principado de;Fueloil;2001;18248
Total nacional;Asturias Principado de;Otros productos petrolíferos;2001;5722
Total nacional;Asturias Principado de;Gas;2001;73440
Total nacional;Asturias Principado de;Electricidad;2001;173700
Total nacional;Asturias Principado de;Otros consumos energéticos;2001;4378
Total nacional;Asturias Principado de;Total consumos energéticos;2001;307602
Total nacional;Balears Illes;Carbón y derivados;2001;3611
Total nacional;Balears Illes;Gasóleo;2001;4884
Total nacional;Balears Illes;Fueloil;2001;796
Total nacional;Balears Illes;Otros productos petrolíferos;2001;924
Total nacional;Balears Illes;Gas;2001;4714
Total nacional;Balears Illes;Electricidad;2001;11705
Total nacional;Balears Illes;Otros consumos energéticos;2001;408
Total nacional;Balears Illes;Total consumos energéticos;2001;27043
Total nacional;Canarias;Carbón y derivados;2001;2016
Total nacional;Canarias;Gasóleo;2001;15739
Total nacional;Canarias;Fueloil;2001;4124
Total nacional;Canarias;Otros productos petrolíferos;2001;2937
Total nacional;Canarias;Gas;2001;6032
Total nacional;Canarias;Electricidad;2001;25049
Total nacional;Canarias;Otros consumos energéticos;2001;381
Total nacional;Canarias;Total consumos energéticos;2001;56278
Total nacional;Cantabria;Carbón y derivados;2001;8112
Total nacional;Cantabria;Gasóleo;2001;11933
Total nacional;Cantabria;Fueloil;2001;4763
Total nacional;Cantabria;Otros productos petrolíferos;2001;5797
Total nacional;Cantabria;Gas;2001;43116
Total nacional;Cantabria;Electricidad;2001;83671
Total nacional;Cantabria;Otros consumos energéticos;2001;7676
Total nacional;Cantabria;Total consumos energéticos;2001;165069
Total nacional;Castilla y León;Carbón y derivados;2001;15112
Total nacional;Castilla y León;Gasóleo;2001;57937
Total nacional;Castilla y León;Fueloil;2001;29784
Total nacional;Castilla y León;Otros productos petrolíferos;2001;5309
Total nacional;Castilla y León;Gas;2001;100828
Total nacional;Castilla y León;Electricidad;2001;181284
Total nacional;Castilla y León;Otros consumos energéticos;2001;9310
Total nacional;Castilla y León;Total consumos energéticos;2001;399564
Total nacional;Castilla - La Mancha;Carbón y derivados;2001;12860
Total nacional;Castilla - La Mancha;Gasóleo;2001;41086
Total nacional;Castilla - La Mancha;Fueloil;2001;21052
Total nacional;Castilla - La Mancha;Otros productos petrolíferos;2001;9100
Total nacional;Castilla - La Mancha;Gas;2001;93525
Total nacional;Castilla - La Mancha;Electricidad;2001;116893
Total nacional;Castilla - La Mancha;Otros consumos energéticos;2001;7147
Total nacional;Castilla - La Mancha;Total consumos energéticos;2001;301662
Total nacional;Cataluña;Carbón y derivados;2001;38988
Total nacional;Cataluña;Gasóleo;2001;111070
Total nacional;Cataluña;Fueloil;2001;64248
Total nacional;Cataluña;Otros productos petrolíferos;2001;48040
Total nacional;Cataluña;Gas;2001;345619
Total nacional;Cataluña;Electricidad;2001;825632
Total nacional;Cataluña;Otros consumos energéticos;2001;92058
Total nacional;Cataluña;Total consumos energéticos;2001;1525655
Total nacional;Comunitat Valenciana;Carbón y derivados;2001;21833
Total nacional;Comunitat Valenciana;Gasóleo;2001;95514
Total nacional;Comunitat Valenciana;Fueloil;2001;30166
Total nacional;Comunitat Valenciana;Otros productos petrolíferos;2001;19442
Total nacional;Comunitat Valenciana;Gas;2001;414166
Total nacional;Comunitat Valenciana;Electricidad;2001;327623
Total nacional;Comunitat Valenciana;Otros consumos energéticos;2001;24212
Total nacional;Comunitat Valenciana;Total consumos energéticos;2001;932956
Total nacional;Extremadura;Carbón y derivados;2001;1632
Total nacional;Extremadura;Gasóleo;2001;24689
Total nacional;Extremadura;Fueloil;2001;7588
Total nacional;Extremadura;Otros productos petrolíferos;2001;1537
Total nacional;Extremadura;Gas;2001;13414
Total nacional;Extremadura;Electricidad;2001;27677
Total nacional;Extremadura;Otros consumos energéticos;2001;1680
Total nacional;Extremadura;Total consumos energéticos;2001;78217
Total nacional;Galicia;Carbón y derivados;2001;21221
Total nacional;Galicia;Gasóleo;2001;49333
Total nacional;Galicia;Fueloil;2001;82612
Total nacional;Galicia;Otros productos petrolíferos;2001;10848
Total nacional;Galicia;Gas;2001;39590
Total nacional;Galicia;Electricidad;2001;249333
Total nacional;Galicia;Otros consumos energéticos;2001;10422
Total nacional;Galicia;Total consumos energéticos;2001;463359
Total nacional;Madrid Comunidad de;Carbón y derivados;2001;12539
Total nacional;Madrid Comunidad de;Gasóleo;2001;43849
Total nacional;Madrid Comunidad de;Fueloil;2001;27685
Total nacional;Madrid Comunidad de;Otros productos petrolíferos;2001;13444
Total nacional;Madrid Comunidad de;Gas;2001;105506
Total nacional;Madrid Comunidad de;Electricidad;2001;239534
Total nacional;Madrid Comunidad de;Otros consumos energéticos;2001;11522
Total nacional;Madrid Comunidad de;Total consumos energéticos;2001;454079
Total nacional;Murcia Región de;Carbón y derivados;2001;3296
Total nacional;Murcia Región de;Gasóleo;2001;32763
Total nacional;Murcia Región de;Fueloil;2001;10366
Total nacional;Murcia Región de;Otros productos petrolíferos;2001;5267
Total nacional;Murcia Región de;Gas;2001;34064
Total nacional;Murcia Región de;Electricidad;2001;67447
Total nacional;Murcia Región de;Otros consumos energéticos;2001;3338
Total nacional;Murcia Región de;Total consumos energéticos;2001;156542
Total nacional;Navarra Comunidad Foral de;Carbón y derivados;2001;19186
Total nacional;Navarra Comunidad Foral de;Gasóleo;2001;18352
