Total Nacional;Comunidades y Ciudades Autónomas;Producto consumido;Período;Total
Total Nacional;07 Castilla y León;Gas;2013;278776
Total Nacional;07 Castilla y León;Gas;2011;250658
Total Nacional;07 Castilla y León;Gas;2009;216629
Total Nacional;07 Castilla y León;Gasóleo;2013;66365
Total Nacional;07 Castilla y León;Gasóleo;2011;85609
Total Nacional;07 Castilla y León;Gasóleo;2009;81261
Total Nacional;07 Castilla y León;Fueloil;2013;5456
Total Nacional;07 Castilla y León;Fueloil;2011;18304
Total Nacional;07 Castilla y León;Fueloil;2009;16028
Total Nacional;07 Castilla y León;Otros productos petrolíferos;2013;7533
Total Nacional;07 Castilla y León;Otros productos petrolíferos;2011;9269
Total Nacional;07 Castilla y León;Otros productos petrolíferos;2009;6921
Total Nacional;07 Castilla y León;Carbón y derivados;2013;
Total Nacional;07 Castilla y León;Carbón y derivados;2011;1661
Total Nacional;07 Castilla y León;Carbón y derivados;2009;10778
Total Nacional;07 Castilla y León;Carbón y coque;2013;11085
Total Nacional;07 Castilla y León;Carbón y coque;2011;
Total Nacional;07 Castilla y León;Carbón y coque;2009;
Total Nacional;07 Castilla y León;Biocombustibles;2013;4587
Total Nacional;07 Castilla y León;Biocombustibles;2011;
Total Nacional;07 Castilla y León;Biocombustibles;2009;
Total Nacional;07 Castilla y León;Calor y otros consumos energéticos;2013;17146
Total Nacional;07 Castilla y León;Calor y otros consumos energéticos;2011;
Total Nacional;07 Castilla y León;Calor y otros consumos energéticos;2009;
Total Nacional;07 Castilla y León;Otros consumos energéticos;2013;
Total Nacional;07 Castilla y León;Otros consumos energéticos;2011;26652
Total Nacional;07 Castilla y León;Otros consumos energéticos;2009;33234
Total Nacional;07 Castilla y León;Total consumos energéticos;2013;746083
Total Nacional;07 Castilla y León;Total consumos energéticos;2011;767928
Total Nacional;07 Castilla y León;Total consumos energéticos;2009;702527
Total Nacional;08 Castilla - La Mancha;Electricidad;2013;23646
Total Nacional;08 Castilla - La Mancha;Electricidad;2011;246521
Total Nacional;08 Castilla - La Mancha;Electricidad;2009;196043
Total Nacional;08 Castilla - La Mancha;Gas;2013;141019
Total Nacional;08 Castilla - La Mancha;Gas;2011;131452
Total Nacional;08 Castilla - La Mancha;Gas;2009;124832
Total Nacional;08 Castilla - La Mancha;Gasóleo;2013;40992
Total Nacional;08 Castilla - La Mancha;Gasóleo;2011;66415
Total Nacional;08 Castilla - La Mancha;Gasóleo;2009;69819
Total Nacional;08 Castilla - La Mancha;Fueloil;2013;6237
Total Nacional;08 Castilla - La Mancha;Fueloil;2011;10053
Total Nacional;08 Castilla - La Mancha;Fueloil;2009;7615
Total Nacional;08 Castilla - La Mancha;Otros productos petrolíferos;2013;4401
Total Nacional;08 Castilla - La Mancha;Otros productos petrolíferos;2011;6994
Total Nacional;08 Castilla - La Mancha;Otros productos petrolíferos;2009;53
Total Nacional;08 Castilla - La Mancha;Carbón y derivados;2013;
Total Nacional;08 Castilla - La Mancha;Carbón y derivados;2011;9703
Total Nacional;08 Castilla - La Mancha;Carbón y derivados;2009;7419
Total Nacional;08 Castilla - La Mancha;Carbón y coque;2013;6175
Total Nacional;08 Castilla - La Mancha;Carbón y coque;2011;
Total Nacional;08 Castilla - La Mancha;Carbón y coque;2009;
Total Nacional;08 Castilla - La Mancha;Biocombustibles;2013;2299
Total Nacional;08 Castilla - La Mancha;Biocombustibles;2011;
Total Nacional;08 Castilla - La Mancha;Biocombustibles;2009;
Total Nacional;08 Castilla - La Mancha;Calor y otros consumos energéticos;2013;11856
Total Nacional;08 Castilla - La Mancha;Calor y otros consumos energéticos;2011;
Total Nacional;08 Castilla - La Mancha;Calor y otros consumos energéticos;2009;
Total Nacional;08 Castilla - La Mancha;Otros consumos energéticos;2013;
Total Nacional;08 Castilla - La Mancha;Otros consumos energéticos;2011;19329
Total Nacional;08 Castilla - La Mancha;Otros consumos energéticos;2009;13776
Total Nacional;08 Castilla - La Mancha;Total consumos energéticos;2013;449439
Total Nacional;08 Castilla - La Mancha;Total consumos energéticos;2011;490468
Total Nacional;08 Castilla - La Mancha;Total consumos energéticos;2009;424804
Total Nacional;09 Cataluña;Electricidad;2013;1289216
Total Nacional;09 Cataluña;Electricidad;2011;1252409
Total Nacional;09 Cataluña;Electricidad;2009;1115772
Total Nacional;09 Cataluña;Gas;2013;758971
Total Nacional;09 Cataluña;Gas;2011;637936
Total Nacional;09 Cataluña;Gas;2009;561951
Total Nacional;09 Cataluña;Gasóleo;2013;139374
Total Nacional;09 Cataluña;Gasóleo;2011;154066
Total Nacional;09 Cataluña;Gasóleo;2009;130204
Total Nacional;09 Cataluña;Fueloil;2013;1175
Total Nacional;09 Cataluña;Fueloil;2011;18364
Total Nacional;09 Cataluña;Fueloil;2009;23077
Total Nacional;09 Cataluña;Otros productos petrolíferos;2013;17539
Total Nacional;09 Cataluña;Otros productos petrolíferos;2011;27139
Total Nacional;09 Cataluña;Otros productos petrolíferos;2009;33226
Total Nacional;09 Cataluña;Carbón y derivados;2013;
Total Nacional;09 Cataluña;Carbón y derivados;2011;55484
Total Nacional;09 Cataluña;Carbón y derivados;2009;44816
Total Nacional;09 Cataluña;Carbón y coque;2013;30025
Total Nacional;09 Cataluña;Carbón y coque;2011;
Total Nacional;09 Cataluña;Carbón y coque;2009;
Total Nacional;09 Cataluña;Biocombustibles;2013;5116
Total Nacional;09 Cataluña;Biocombustibles;2011;
