Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Forma jurídica;Número de sociedades y capital (en miles de euros);Periodo;Total
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2016;3992
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2015;255
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2014;692
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2013;125
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2012;254
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2011;10548
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2010;360
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2009;206
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2008;1666
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2007;440
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2006;2259
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2005;3510
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2004;277
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2003;336
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2002;6520
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2001;16420
Total Nacional;;;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2000;22
Total Nacional;01 Andalucía;;Total;Número de Sociedades;2023;19231
Total Nacional;01 Andalucía;;Total;Número de Sociedades;2022;17199
Total Nacional;01 Andalucía;;Total;Número de Sociedades;2021;17506
Total Nacional;01 Andalucía;;Total;Número de Sociedades;2020;13654
Total Nacional;01 Andalucía;;Total;Número de Sociedades;2019;15560
Total Nacional;01 Andalucía;;Total;Número de Sociedades;2018;16018
Total Nacional;01 Andalucía;;Total;Número de Sociedades;2017;15381
Total Nacional;01 Andalucía;;Total;Número de Sociedades;2016;16689
Total Nacional;01 Andalucía;;Total;Número de Sociedades;2015;15893
Total Nacional;01 Andalucía;;Total;Número de Sociedades;2014;15541
Total Nacional;01 Andalucía;;Total;Número de Sociedades;2013;15388
Total Nacional;01 Andalucía;;Total;Número de Sociedades;2012;14399
Total Nacional;01 Andalucía;;Total;Número de Sociedades;2011;13942
Total Nacional;01 Andalucía;;Total;Número de Sociedades;2010;12482
Total Nacional;01 Andalucía;;Total;Número de Sociedades;2009;12740
Total Nacional;01 Andalucía;;Total;Número de Sociedades;2008;15826
Total Nacional;01 Andalucía;;Total;Número de Sociedades;2007;23299
Total Nacional;01 Andalucía;;Total;Número de Sociedades;2006;24297
Total Nacional;01 Andalucía;;Total;Número de Sociedades;2005;23444
Total Nacional;01 Andalucía;;Total;Número de Sociedades;2004;22480
Total Nacional;01 Andalucía;;Total;Número de Sociedades;2003;20848
Total Nacional;01 Andalucía;;Total;Número de Sociedades;2002;19330
Total Nacional;01 Andalucía;;Total;Número de Sociedades;2001;17489
Total Nacional;01 Andalucía;;Total;Número de Sociedades;2000;16827
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) suscrito;2023;918844
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) suscrito;2022;786793
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) suscrito;2021;671783
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) suscrito;2020;635457
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) suscrito;2019;559078
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) suscrito;2018;712138
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) suscrito;2017;644403
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) suscrito;2016;716249
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) suscrito;2015;688381
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) suscrito;2014;731992
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) suscrito;2013;961516
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) suscrito;2012;928474
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) suscrito;2011;1558796
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) suscrito;2010;404918
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) suscrito;2009;511532
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) suscrito;2008;775607
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) suscrito;2007;1774610
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) suscrito;2006;1116759
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) suscrito;2005;1094449
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) suscrito;2004;1129318
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) suscrito;2003;1027766
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) suscrito;2002;856419
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) suscrito;2001;850800
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) suscrito;2000;740764
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) desembolsado;2023;914669
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) desembolsado;2022;785410
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) desembolsado;2021;670275
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) desembolsado;2020;619582
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) desembolsado;2019;557706
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) desembolsado;2018;711183
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) desembolsado;2017;639265
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) desembolsado;2016;713072
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) desembolsado;2015;683290
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) desembolsado;2014;731138
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) desembolsado;2013;960328
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) desembolsado;2012;908075
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) desembolsado;2011;1542639
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) desembolsado;2010;392195
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) desembolsado;2009;489215
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) desembolsado;2008;732134
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) desembolsado;2007;1620053
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) desembolsado;2006;1077096
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) desembolsado;2005;1037354
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) desembolsado;2004;1047687
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) desembolsado;2003;962042
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) desembolsado;2002;840762
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) desembolsado;2001;823389
Total Nacional;01 Andalucía;;Total;capital (en miles de euros) desembolsado;2000;98807218
Total Nacional;01 Andalucía;;SA;Número de Sociedades;2023;26
Total Nacional;01 Andalucía;;SA;Número de Sociedades;2022;21
Total Nacional;01 Andalucía;;SA;Número de Sociedades;2021;38
Total Nacional;01 Andalucía;;SA;Número de Sociedades;2020;21
Total Nacional;01 Andalucía;;SA;Número de Sociedades;2019;37
Total Nacional;01 Andalucía;;SA;Número de Sociedades;2018;29
Total Nacional;01 Andalucía;;SA;Número de Sociedades;2017;34
Total Nacional;01 Andalucía;;SA;Número de Sociedades;2016;36
Total Nacional;01 Andalucía;;SA;Número de Sociedades;2015;45
Total Nacional;01 Andalucía;;SA;Número de Sociedades;2014;46
Total Nacional;01 Andalucía;;SA;Número de Sociedades;2013;41
Total Nacional;01 Andalucía;;SA;Número de Sociedades;2012;64
Total Nacional;01 Andalucía;;SA;Número de Sociedades;2011;51
Total Nacional;01 Andalucía;;SA;Número de Sociedades;2010;79
Total Nacional;01 Andalucía;;SA;Número de Sociedades;2009;106
Total Nacional;01 Andalucía;;SA;Número de Sociedades;2008;142
Total Nacional;01 Andalucía;;SA;Número de Sociedades;2007;262
Total Nacional;01 Andalucía;;SA;Número de Sociedades;2006;240
Total Nacional;01 Andalucía;;SA;Número de Sociedades;2005;243
Total Nacional;01 Andalucía;;SA;Número de Sociedades;2004;303
Total Nacional;01 Andalucía;;SA;Número de Sociedades;2003;238
Total Nacional;01 Andalucía;;SA;Número de Sociedades;2002;319
Total Nacional;01 Andalucía;;SA;Número de Sociedades;2001;341
Total Nacional;01 Andalucía;;SA;Número de Sociedades;2000;393
Total Nacional;01 Andalucía;;SA;capital (en miles de euros) suscrito;2023;21883
Total Nacional;01 Andalucía;;SA;capital (en miles de euros) suscrito;2022;4877
Total Nacional;01 Andalucía;;SA;capital (en miles de euros) suscrito;2021;13885
Total Nacional;01 Andalucía;;SA;capital (en miles de euros) suscrito;2020;25999
Total Nacional;01 Andalucía;;SA;capital (en miles de euros) suscrito;2019;5313
Total Nacional;01 Andalucía;;SA;capital (en miles de euros) suscrito;2018;8640
Total Nacional;01 Andalucía;;SA;capital (en miles de euros) suscrito;2017;19889
Total Nacional;01 Andalucía;;SA;capital (en miles de euros) suscrito;2016;11347
Total Nacional;01 Andalucía;;SA;capital (en miles de euros) suscrito;2015;12489
