Variables;n_componentes;rho;phi_1;sigma2;MAPE;RMSE_rel
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, PobTotal_arima, Carbón y derivados_arima, Gas_arima, Capital_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,998519645710735;0,868152642202211;0,185035397798067;0,234290856662845
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept ActivosMujeres_arima, Intercept PobTotal_arima, Intercept Carbón y derivados_arima, Intercept Gas_arima, Intercept Capital_arima, Intercept EurosDesembolsado_arima;3;-0,999000000000000;0,998519645710735;0,868152642202211;0,185035397798067;0,234290856662845
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, Electricidad_arima, Carbón y derivados_arima, Gas_arima, Capital_arima;3;-0,998999999999756;0,998735359986340;0,851040374832104;0,317253318712316;0,234631517846248
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept NumeroCreadas_arima, Intercept Electricidad_arima, Intercept Carbón y derivados_arima, Intercept Gas_arima, Intercept Capital_arima;3;-0,998999999999756;0,998735359986340;0,851040374832104;0,317253318712316;0,234631517846248
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, PobTotal_arima, ActivoHombres_arima, NumeroSociedades_arima, Carbón y derivados_arima, Gas_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;0,698264971551104;0,202366115058309;0,234748702009233
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept ActivosMujeres_arima, Intercept PobTotal_arima, Intercept ActivoHombres_arima, Intercept NumeroSociedades_arima, Intercept Carbón y derivados_arima, Intercept Gas_arima, Intercept EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;0,698264971551104;0,202366115058309;0,234748702009233
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, PobTotal_arima, ActivoHombres_arima, NumeroSociedades_arima, Carbón y derivados_arima;3;-0,999000000000000;0,999000000000000;0,563532355075801;0,257875132523834;0,235165427315008
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept NumeroCreadas_arima, Intercept PobTotal_arima, Intercept ActivoHombres_arima, Intercept NumeroSociedades_arima, Intercept Carbón y derivados_arima;3;-0,999000000000000;0,999000000000000;0,563532355075801;0,257875132523834;0,235165427315008
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, NumeroSociedades_arima, Gas_arima, Capital_arima;3;-0,999000000000000;0,999000000000000;0,728726296073119;0,254349825568783;0,235330488779685
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept NumeroCreadas_arima, Intercept NumeroSociedades_arima, Intercept Gas_arima, Intercept Capital_arima;3;-0,999000000000000;0,999000000000000;0,728726296073119;0,254349825568783;0,235330488779685
