Nacional;Comunidades y Ciudades Autonomas;Sexo;Periodo;Total
Total;05 Canarias;Total;2008;2075968
Total;05 Canarias;Total;2007;2025951
Total;05 Canarias;Total;2006;1995833
Total;05 Canarias;Total;2005;1968280
Total;05 Canarias;Total;2004;1915540
Total;05 Canarias;Total;2003;1894868
Total;05 Canarias;Total;2002;1843755
Total;05 Canarias;Total;2001;1781366
Total;05 Canarias;Total;2000;1716276
Total;05 Canarias;Total;1999;1672689
Total;05 Canarias;Total;1998;1630015
Total;05 Canarias;Total;1997;""
Total;05 Canarias;Total;1996;1606534
Total;05 Canarias;Hombres;2021;1074180
Total;05 Canarias;Hombres;2020;1076185
Total;05 Canarias;Hombres;2019;1065971
Total;05 Canarias;Hombres;2018;1054032
Total;05 Canarias;Hombres;2017;1045113
Total;05 Canarias;Hombres;2016;1042838
Total;05 Canarias;Hombres;2015;1043203
Total;05 Canarias;Hombres;2014;1046373
Total;05 Canarias;Hombres;2013;1055302
Total;05 Canarias;Hombres;2012;1056240
Total;05 Canarias;Hombres;2011;1061591
Total;05 Canarias;Hombres;2010;1058706
Total;05 Canarias;Hombres;2009;1052636
Total;05 Canarias;Hombres;2008;1040137
Total;05 Canarias;Hombres;2007;1015493
Total;05 Canarias;Hombres;2006;1001394
Total;05 Canarias;Hombres;2005;988230
Total;05 Canarias;Hombres;2004;960658
Total;05 Canarias;Hombres;2003;950159
Total;05 Canarias;Hombres;2002;923353
Total;05 Canarias;Hombres;2001;890549
Total;05 Canarias;Hombres;2000;854899
Total;05 Canarias;Hombres;1999;831707
Total;05 Canarias;Hombres;1998;808092
Total;05 Canarias;Hombres;1997;""
Total;05 Canarias;Hombres;1996;797230
Total;05 Canarias;Mujeres;2021;1098764
Total;05 Canarias;Mujeres;2020;1099767
Total;05 Canarias;Mujeres;2019;1087418
Total;05 Canarias;Mujeres;2018;1073653
Total;05 Canarias;Mujeres;2017;1063008
Total;05 Canarias;Mujeres;2016;1059086
Total;05 Canarias;Mujeres;2015;1057103
Total;05 Canarias;Mujeres;2014;1058442
Total;05 Canarias;Mujeres;2013;1063377
Total;05 Canarias;Mujeres;2012;1062104
Total;05 Canarias;Mujeres;2011;1065178
Total;05 Canarias;Mujeres;2010;1059813
Total;05 Canarias;Mujeres;2009;1051356
Total;05 Canarias;Mujeres;2008;1035831
Total;05 Canarias;Mujeres;2007;1010458
Total;05 Canarias;Mujeres;2006;994439
Total;05 Canarias;Mujeres;2005;980050
Total;05 Canarias;Mujeres;2004;954882
Total;05 Canarias;Mujeres;2003;944709
Total;05 Canarias;Mujeres;2002;920402
Total;05 Canarias;Mujeres;2001;890817
Total;05 Canarias;Mujeres;2000;861377
Total;05 Canarias;Mujeres;1999;840982
Total;05 Canarias;Mujeres;1998;821923
Total;05 Canarias;Mujeres;1997;""
Total;05 Canarias;Mujeres;1996;809304
Total;06 Cantabria;Total;2021;584507
Total;06 Cantabria;Total;2020;582905
Total;06 Cantabria;Total;2019;581078
Total;06 Cantabria;Total;2018;580229
Total;06 Cantabria;Total;2017;580295
Total;06 Cantabria;Total;2016;582206
Total;06 Cantabria;Total;2015;585179
Total;06 Cantabria;Total;2014;588656
Total;06 Cantabria;Total;2013;591888
Total;06 Cantabria;Total;2012;593861
Total;06 Cantabria;Total;2011;593121
Total;06 Cantabria;Total;2010;592250
Total;06 Cantabria;Total;2009;589235
Total;06 Cantabria;Total;2008;582138
Total;06 Cantabria;Total;2007;572824
Total;06 Cantabria;Total;2006;568091
Total;06 Cantabria;Total;2005;562309
Total;06 Cantabria;Total;2004;554784
Total;06 Cantabria;Total;2003;549690
Total;06 Cantabria;Total;2002;542275
Total;06 Cantabria;Total;2001;537606
Total;06 Cantabria;Total;2000;531159
Total;06 Cantabria;Total;1999;528478
Total;06 Cantabria;Total;1998;527137
Total;06 Cantabria;Total;1997;""
Total;06 Cantabria;Total;1996;527437
Total;06 Cantabria;Hombres;2021;283378
Total;06 Cantabria;Hombres;2020;282559
Total;06 Cantabria;Hombres;2019;281801
Total;06 Cantabria;Hombres;2018;281564
Total;06 Cantabria;Hombres;2017;281808
Total;06 Cantabria;Hombres;2016;282988
Total;06 Cantabria;Hombres;2015;284788
Total;06 Cantabria;Hombres;2014;286782
Total;06 Cantabria;Hombres;2013;288643
Total;06 Cantabria;Hombres;2012;289999
Total;06 Cantabria;Hombres;2011;289872
Total;06 Cantabria;Hombres;2010;289931
Total;06 Cantabria;Hombres;2009;288735
Total;06 Cantabria;Hombres;2008;285469
Total;06 Cantabria;Hombres;2007;280283
Total;06 Cantabria;Hombres;2006;277869
Total;06 Cantabria;Hombres;2005;274797
Total;06 Cantabria;Hombres;2004;270907
Total;06 Cantabria;Hombres;2003;268309
Total;06 Cantabria;Hombres;2002;264492
Total;06 Cantabria;Hombres;2001;261967
Total;06 Cantabria;Hombres;2000;258682
Total;06 Cantabria;Hombres;1999;257495
Total;06 Cantabria;Hombres;1998;256766
Total;06 Cantabria;Hombres;1997;""
Total;06 Cantabria;Hombres;1996;256946
Total;06 Cantabria;Mujeres;2021;301129
Total;06 Cantabria;Mujeres;2020;300346
Total;06 Cantabria;Mujeres;2019;299277
Total;06 Cantabria;Mujeres;2018;298665
Total;06 Cantabria;Mujeres;2017;298487
Total;06 Cantabria;Mujeres;2016;299218
Total;06 Cantabria;Mujeres;2015;300391
Total;06 Cantabria;Mujeres;2014;301874
Total;06 Cantabria;Mujeres;2013;303245
Total;06 Cantabria;Mujeres;2012;303862
Total;06 Cantabria;Mujeres;2011;303249
Total;06 Cantabria;Mujeres;2010;302319
Total;06 Cantabria;Mujeres;2009;300500
Total;06 Cantabria;Mujeres;2008;296669
Total;06 Cantabria;Mujeres;2007;292541
Total;06 Cantabria;Mujeres;2006;290222
Total;06 Cantabria;Mujeres;2005;287512
Total;06 Cantabria;Mujeres;2004;283877
Total;06 Cantabria;Mujeres;2003;281381
Total;06 Cantabria;Mujeres;2002;277783
Total;06 Cantabria;Mujeres;2001;275639
Total;06 Cantabria;Mujeres;2000;272477
Total;06 Cantabria;Mujeres;1999;270983
Total;06 Cantabria;Mujeres;1998;270371
Total;06 Cantabria;Mujeres;1997;""
Total;06 Cantabria;Mujeres;1996;270491
Total;07 Castilla y Le?n;Total;2021;2383139
Total;07 Castilla y Le?n;Total;2020;2394918
Total;07 Castilla y Le?n;Total;2019;2399548
Total;07 Castilla y Le?n;Total;2018;2409164
Total;07 Castilla y Le?n;Total;2017;2425801
Total;07 Castilla y Le?n;Total;2016;2447519
Total;07 Castilla y Le?n;Total;2015;2472052
Total;07 Castilla y Le?n;Total;2014;2494790
Total;07 Castilla y Le?n;Total;2013;2519875
Total;07 Castilla y Le?n;Total;2012;2546078
Total;07 Castilla y Le?n;Total;2011;2558463
Total;07 Castilla y Le?n;Total;2010;2559515
Total;07 Castilla y Le?n;Total;2009;2563521
Total;07 Castilla y Le?n;Total;2008;2557330
Total;07 Castilla y Le?n;Total;2007;2528417
Total;07 Castilla y Le?n;Total;2006;2523020
Total;07 Castilla y Le?n;Total;2005;2510849
Total;07 Castilla y Le?n;Total;2004;2493918
Total;07 Castilla y Le?n;Total;2003;2487646
Total;07 Castilla y Le?n;Total;2002;2480369
Total;07 Castilla y Le?n;Total;2001;2479425
Total;07 Castilla y Le?n;Total;2000;2479118
Total;07 Castilla y Le?n;Total;1999;2488062
Total;07 Castilla y Le?n;Total;1998;2484603
Total;07 Castilla y Le?n;Total;1997;""
Total;07 Castilla y Le?n;Total;1996;2508496
Total;07 Castilla y Le?n;Hombres;2021;1173114
Total;07 Castilla y Le?n;Hombres;2020;1178846
Total;07 Castilla y Le?n;Hombres;2019;1181401
Total;07 Castilla y Le?n;Hombres;2018;1186363
Total;07 Castilla y Le?n;Hombres;2017;1195251
Total;07 Castilla y Le?n;Hombres;2016;1206775
Total;07 Castilla y Le?n;Hombres;2015;1219616
