Clase de disolución;Comunidades y Ciudades Autónomas;Periodo;Total
Total;01 Andalucía;2011M08;161
Total;01 Andalucía;2011M07;166
Total;01 Andalucía;2011M06;203
Total;01 Andalucía;2011M05;230
Total;01 Andalucía;2011M04;182
Total;01 Andalucía;2011M03;282
Total;01 Andalucía;2011M02;251
Total;01 Andalucía;2011M01;394
Total;01 Andalucía;2010M12;340
Total;01 Andalucía;2010M11;224
Total;01 Andalucía;2010M10;183
Total;01 Andalucía;2010M09;186
Total;01 Andalucía;2010M08;134
Total;01 Andalucía;2010M07;188
Total;01 Andalucía;2010M06;181
Total;01 Andalucía;2010M05;329
Total;01 Andalucía;2010M04;179
Total;01 Andalucía;2010M03;250
Total;01 Andalucía;2010M02;265
Total;01 Andalucía;2010M01;349
Total;01 Andalucía;2009M12;301
Total;01 Andalucía;2009M11;191
Total;01 Andalucía;2009M10;190
Total;01 Andalucía;2009M09;153
Total;01 Andalucía;2009M08;121
Total;01 Andalucía;2009M07;121
Total;01 Andalucía;2009M06;219
Total;01 Andalucía;2009M05;167
Total;01 Andalucía;2009M04;178
Total;01 Andalucía;2009M03;337
Total;01 Andalucía;2009M02;417
Total;01 Andalucía;2009M01;365
Total;01 Andalucía;2008M12;283
Total;01 Andalucía;2008M11;258
Total;01 Andalucía;2008M10;218
Total;01 Andalucía;2008M09;214
Total;01 Andalucía;2008M08;122
Total;01 Andalucía;2008M07;151
Total;01 Andalucía;2008M06;144
Total;01 Andalucía;2008M05;216
Total;01 Andalucía;2008M04;196
Total;01 Andalucía;2008M03;193
Total;01 Andalucía;2008M02;303
Total;01 Andalucía;2008M01;395
Total;01 Andalucía;2007M12;""
Total;01 Andalucía;2007M11;""
Total;01 Andalucía;2007M10;""
Total;01 Andalucía;2007M09;""
Total;01 Andalucía;2007M08;""
Total;01 Andalucía;2007M07;""
Total;01 Andalucía;2007M06;""
Total;01 Andalucía;2007M05;""
Total;01 Andalucía;2007M04;""
Total;01 Andalucía;2007M03;""
Total;01 Andalucía;2007M02;""
Total;01 Andalucía;2007M01;""
Total;01 Andalucía;2006M12;""
Total;01 Andalucía;2006M11;""
Total;01 Andalucía;2006M10;""
Total;01 Andalucía;2006M09;""
Total;01 Andalucía;2006M08;""
Total;01 Andalucía;2006M07;""
Total;01 Andalucía;2006M06;""
Total;01 Andalucía;2006M05;""
Total;01 Andalucía;2006M04;""
Total;01 Andalucía;2006M03;""
Total;01 Andalucía;2006M02;""
Total;01 Andalucía;2006M01;""
Total;01 Andalucía;2005M12;""
Total;01 Andalucía;2005M11;""
Total;01 Andalucía;2005M10;""
Total;01 Andalucía;2005M09;""
Total;01 Andalucía;2005M08;""
Total;01 Andalucía;2005M07;""
Total;01 Andalucía;2005M06;""
Total;01 Andalucía;2005M05;""
Total;01 Andalucía;2005M04;""
Total;01 Andalucía;2005M03;""
Total;01 Andalucía;2005M02;""
Total;01 Andalucía;2005M01;""
Total;01 Andalucía;2004M12;""
Total;01 Andalucía;2004M11;""
Total;01 Andalucía;2004M10;""
Total;01 Andalucía;2004M09;""
Total;01 Andalucía;2004M08;""
Total;01 Andalucía;2004M07;""
Total;01 Andalucía;2004M06;""
Total;01 Andalucía;2004M05;""
Total;01 Andalucía;2004M04;""
Total;01 Andalucía;2004M03;""
Total;01 Andalucía;2004M02;""
Total;01 Andalucía;2004M01;""
Total;01 Andalucía;2003M12;""
Total;01 Andalucía;2003M11;""
Total;01 Andalucía;2003M10;""
Total;01 Andalucía;2003M09;""
Total;01 Andalucía;2003M08;""
Total;01 Andalucía;2003M07;""
Total;01 Andalucía;2003M06;""
Total;01 Andalucía;2003M05;""
Total;01 Andalucía;2003M04;""
Total;01 Andalucía;2003M03;""
Total;01 Andalucía;2003M02;""
Total;01 Andalucía;2003M01;""
Total;01 Andalucía;2002M12;""
Total;01 Andalucía;2002M11;""
Total;01 Andalucía;2002M10;""
Total;01 Andalucía;2002M09;""
Total;01 Andalucía;2002M08;""
Total;01 Andalucía;2002M07;""
Total;01 Andalucía;2002M06;""
Total;01 Andalucía;2002M05;""
Total;01 Andalucía;2002M04;""
Total;01 Andalucía;2002M03;""
Total;01 Andalucía;2002M02;""
Total;01 Andalucía;2002M01;""
Total;01 Andalucía;2001M12;""
Total;01 Andalucía;2001M11;""
Total;01 Andalucía;2001M10;""
Total;01 Andalucía;2001M09;""
Total;01 Andalucía;2001M08;""
Total;01 Andalucía;2001M07;""
Total;01 Andalucía;2001M06;""
Total;01 Andalucía;2001M05;""
Total;01 Andalucía;2001M04;""
Total;01 Andalucía;2001M03;""
Total;01 Andalucía;2001M02;""
Total;01 Andalucía;2001M01;""
Total;01 Andalucía;2000M12;""
Total;01 Andalucía;2000M11;""
Total;01 Andalucía;2000M10;""
Total;01 Andalucía;2000M09;""
Total;01 Andalucía;2000M08;""
Total;01 Andalucía;2000M07;""
Total;01 Andalucía;2000M06;""
Total;01 Andalucía;2000M05;""
Total;01 Andalucía;2000M04;""
Total;01 Andalucía;2000M03;""
Total;01 Andalucía;2000M02;""
Total;01 Andalucía;2000M01;""
Total;01 Andalucía;1999M12;""
Total;01 Andalucía;1999M11;""
Total;01 Andalucía;1999M10;""
Total;01 Andalucía;1999M09;""
Total;01 Andalucía;1999M08;""
Total;01 Andalucía;1999M07;""
Total;01 Andalucía;1999M06;""
Total;01 Andalucía;1999M05;""
Total;01 Andalucía;1999M04;""
Total;01 Andalucía;1999M03;""
Total;01 Andalucía;1999M02;""
Total;01 Andalucía;1999M01;""
Total;01 Andalucía;1998M12;""
Total;01 Andalucía;1998M11;""
Total;01 Andalucía;1998M10;""
Total;01 Andalucía;1998M09;""
Total;01 Andalucía;1998M08;""
Total;01 Andalucía;1998M07;""
Total;01 Andalucía;1998M06;""
Total;01 Andalucía;1998M05;""
Total;01 Andalucía;1998M04;""
Total;01 Andalucía;1998M03;""
Total;01 Andalucía;1998M02;""
Total;01 Andalucía;1998M01;""
Total;01 Andalucía;1997M12;""
Total;01 Andalucía;1997M11;""
Total;01 Andalucía;1997M10;""
Total;01 Andalucía;1997M09;""
Total;01 Andalucía;1997M08;""
Total;01 Andalucía;1997M07;""
Total;01 Andalucía;1997M06;""
Total;01 Andalucía;1997M05;""
Total;01 Andalucía;1997M04;""
Total;01 Andalucía;1997M03;""
Total;01 Andalucía;1997M02;""
Total;01 Andalucía;1997M01;""
Total;01 Andalucía;1996M12;""
Total;01 Andalucía;1996M11;""
Total;01 Andalucía;1996M10;""
Total;01 Andalucía;1996M09;""
Total;01 Andalucía;1996M08;""
Total;01 Andalucía;1996M07;""
Total;01 Andalucía;1996M06;""
Total;01 Andalucía;1996M05;""
Total;01 Andalucía;1996M04;""
Total;01 Andalucía;1996M03;""
Total;01 Andalucía;1996M02;""
Total;01 Andalucía;1996M01;""
Total;01 Andalucía;1995M12;""
Total;01 Andalucía;1995M11;""
Total;01 Andalucía;1995M10;""
Total;01 Andalucía;1995M09;""
Total;01 Andalucía;1995M08;""
Total;01 Andalucía;1995M07;""
Total;01 Andalucía;1995M06;""
Total;01 Andalucía;1995M05;""
Total;01 Andalucía;1995M04;""
Total;01 Andalucía;1995M03;""
Total;01 Andalucía;1995M02;""
Total;01 Andalucía;1995M01;""
Total;02 Aragón;2025M05;57
Total;02 Aragón;2025M04;50
Total;02 Aragón;2025M03;58
Total;02 Aragón;2025M02;74
Total;02 Aragón;2025M01;137
Total;02 Aragón;2024M12;151
Total;02 Aragón;2024M11;66
Total;02 Aragón;2024M10;55
Total;02 Aragón;2024M09;41
Total;02 Aragón;2024M08;46
Total;02 Aragón;2024M07;31
Total;02 Aragón;2024M06;49
Total;02 Aragón;2024M05;42
Total;02 Aragón;2024M04;45
Total;02 Aragón;2024M03;52
Total;02 Aragón;2024M02;70
Total;02 Aragón;2024M01;158
Total;02 Aragón;2023M12;138
Total;02 Aragón;2023M11;79
Total;02 Aragón;2023M10;52
Total;02 Aragón;2023M09;32
Total;02 Aragón;2023M08;38
Total;02 Aragón;2023M07;38
Total;02 Aragón;2023M06;49
Total;02 Aragón;2023M05;59
Total;02 Aragón;2023M04;35
Total;02 Aragón;2023M03;84
Total;02 Aragón;2023M02;87
Total;02 Aragón;2023M01;111
Total;02 Aragón;2022M12;123
Total;02 Aragón;2022M11;96
Total;02 Aragón;2022M10;62
Total;02 Aragón;2022M09;35
Total;02 Aragón;2022M08;42
