Clase de disolución;Comunidades y Ciudades Autónomas;Periodo;Total
Otras;10 Comunitat Valenciana;2013M02;59
Otras;10 Comunitat Valenciana;2013M01;51
Otras;10 Comunitat Valenciana;2012M12;48
Otras;10 Comunitat Valenciana;2012M11;69
Otras;10 Comunitat Valenciana;2012M10;53
Otras;10 Comunitat Valenciana;2012M09;37
Otras;10 Comunitat Valenciana;2012M08;40
Otras;10 Comunitat Valenciana;2012M07;61
Otras;10 Comunitat Valenciana;2012M06;52
Otras;10 Comunitat Valenciana;2012M05;74
Otras;10 Comunitat Valenciana;2012M04;47
Otras;10 Comunitat Valenciana;2012M03;71
Otras;10 Comunitat Valenciana;2012M02;49
Otras;10 Comunitat Valenciana;2012M01;50
Otras;10 Comunitat Valenciana;2011M12;33
Otras;10 Comunitat Valenciana;2011M11;45
Otras;10 Comunitat Valenciana;2011M10;38
Otras;10 Comunitat Valenciana;2011M09;37
Otras;10 Comunitat Valenciana;2011M08;20
Otras;10 Comunitat Valenciana;2011M07;44
Otras;10 Comunitat Valenciana;2011M06;52
Otras;10 Comunitat Valenciana;2011M05;43
Otras;10 Comunitat Valenciana;2011M04;43
Otras;10 Comunitat Valenciana;2011M03;76
Otras;10 Comunitat Valenciana;2011M02;48
Otras;10 Comunitat Valenciana;2011M01;36
Otras;10 Comunitat Valenciana;2010M12;50
Otras;10 Comunitat Valenciana;2010M11;38
Otras;10 Comunitat Valenciana;2010M10;30
Otras;10 Comunitat Valenciana;2010M09;34
Otras;10 Comunitat Valenciana;2010M08;20
Otras;10 Comunitat Valenciana;2010M07;39
Otras;10 Comunitat Valenciana;2010M06;49
Otras;10 Comunitat Valenciana;2010M05;47
Otras;10 Comunitat Valenciana;2010M04;26
Otras;10 Comunitat Valenciana;2010M03;54
Otras;10 Comunitat Valenciana;2010M02;41
Otras;10 Comunitat Valenciana;2010M01;33
Otras;10 Comunitat Valenciana;2009M12;31
Otras;10 Comunitat Valenciana;2009M11;34
Otras;10 Comunitat Valenciana;2009M10;29
Otras;10 Comunitat Valenciana;2009M09;11
Otras;10 Comunitat Valenciana;2009M08;16
Otras;10 Comunitat Valenciana;2009M07;25
Otras;10 Comunitat Valenciana;2009M06;29
Otras;10 Comunitat Valenciana;2009M05;9
Otras;10 Comunitat Valenciana;2009M04;18
Otras;10 Comunitat Valenciana;2009M03;14
Otras;10 Comunitat Valenciana;2009M02;19
Otras;10 Comunitat Valenciana;2009M01;17
Otras;10 Comunitat Valenciana;2008M12;12
Otras;10 Comunitat Valenciana;2008M11;17
Otras;10 Comunitat Valenciana;2008M10;13
Otras;10 Comunitat Valenciana;2008M09;8
Otras;10 Comunitat Valenciana;2008M08;9
Otras;10 Comunitat Valenciana;2008M07;8
Otras;10 Comunitat Valenciana;2008M06;10
Otras;10 Comunitat Valenciana;2008M05;13
Otras;10 Comunitat Valenciana;2008M04;12
Otras;10 Comunitat Valenciana;2008M03;12
Otras;10 Comunitat Valenciana;2008M02;13
Otras;10 Comunitat Valenciana;2008M01;22
Otras;10 Comunitat Valenciana;2007M12;""
Otras;10 Comunitat Valenciana;2007M11;""
Otras;10 Comunitat Valenciana;2007M10;""
Otras;10 Comunitat Valenciana;2007M09;""
Otras;10 Comunitat Valenciana;2007M08;""
Otras;10 Comunitat Valenciana;2007M07;""
Otras;10 Comunitat Valenciana;2007M06;""
Otras;10 Comunitat Valenciana;2007M05;""
Otras;10 Comunitat Valenciana;2007M04;""
Otras;10 Comunitat Valenciana;2007M03;""
Otras;10 Comunitat Valenciana;2007M02;""
Otras;10 Comunitat Valenciana;2007M01;""
Otras;10 Comunitat Valenciana;2006M12;""
Otras;10 Comunitat Valenciana;2006M11;""
Otras;10 Comunitat Valenciana;2006M10;""
Otras;10 Comunitat Valenciana;2006M09;""
Otras;10 Comunitat Valenciana;2006M08;""
Otras;10 Comunitat Valenciana;2006M07;""
Otras;10 Comunitat Valenciana;2006M06;""
Otras;10 Comunitat Valenciana;2006M05;""
Otras;10 Comunitat Valenciana;2006M04;""
Otras;10 Comunitat Valenciana;2006M03;""
Otras;10 Comunitat Valenciana;2006M02;""
Otras;10 Comunitat Valenciana;2006M01;""
Otras;10 Comunitat Valenciana;2005M12;""
Otras;10 Comunitat Valenciana;2005M11;""
Otras;10 Comunitat Valenciana;2005M10;""
Otras;10 Comunitat Valenciana;2005M09;""
Otras;10 Comunitat Valenciana;2005M08;""
Otras;10 Comunitat Valenciana;2005M07;""
Otras;10 Comunitat Valenciana;2005M06;""
Otras;10 Comunitat Valenciana;2005M05;""
Otras;10 Comunitat Valenciana;2005M04;""
Otras;10 Comunitat Valenciana;2005M03;""
Otras;10 Comunitat Valenciana;2005M02;""
Otras;10 Comunitat Valenciana;2005M01;""
Otras;10 Comunitat Valenciana;2004M12;""
Otras;10 Comunitat Valenciana;2004M11;""
Otras;10 Comunitat Valenciana;2004M10;""
Otras;10 Comunitat Valenciana;2004M09;""
Otras;10 Comunitat Valenciana;2004M08;""
Otras;10 Comunitat Valenciana;2004M07;""
Otras;10 Comunitat Valenciana;2004M06;""
Otras;10 Comunitat Valenciana;2004M05;""
Otras;10 Comunitat Valenciana;2004M04;""
Otras;10 Comunitat Valenciana;2004M03;""
Otras;10 Comunitat Valenciana;2004M02;""
Otras;10 Comunitat Valenciana;2004M01;""
Otras;10 Comunitat Valenciana;2003M12;""
Otras;10 Comunitat Valenciana;2003M11;""
Otras;10 Comunitat Valenciana;2003M10;""
Otras;10 Comunitat Valenciana;2003M09;""
Otras;10 Comunitat Valenciana;2003M08;""
Otras;10 Comunitat Valenciana;2003M07;""
Otras;10 Comunitat Valenciana;2003M06;""
Otras;10 Comunitat Valenciana;2003M05;""
Otras;10 Comunitat Valenciana;2003M04;""
Otras;10 Comunitat Valenciana;2003M03;""
Otras;10 Comunitat Valenciana;2003M02;""
Otras;10 Comunitat Valenciana;2003M01;""
Otras;10 Comunitat Valenciana;2002M12;""
Otras;10 Comunitat Valenciana;2002M11;""
Otras;10 Comunitat Valenciana;2002M10;""
Otras;10 Comunitat Valenciana;2002M09;""
Otras;10 Comunitat Valenciana;2002M08;""
Otras;10 Comunitat Valenciana;2002M07;""
Otras;10 Comunitat Valenciana;2002M06;""
Otras;10 Comunitat Valenciana;2002M05;""
Otras;10 Comunitat Valenciana;2002M04;""
Otras;10 Comunitat Valenciana;2002M03;""
Otras;10 Comunitat Valenciana;2002M02;""
Otras;10 Comunitat Valenciana;2002M01;""
Otras;10 Comunitat Valenciana;2001M12;""
Otras;10 Comunitat Valenciana;2001M11;""
Otras;10 Comunitat Valenciana;2001M10;""
Otras;10 Comunitat Valenciana;2001M09;""
Otras;10 Comunitat Valenciana;2001M08;""
Otras;10 Comunitat Valenciana;2001M07;""
Otras;10 Comunitat Valenciana;2001M06;""
Otras;10 Comunitat Valenciana;2001M05;""
Otras;10 Comunitat Valenciana;2001M04;""
Otras;10 Comunitat Valenciana;2001M03;""
Otras;10 Comunitat Valenciana;2001M02;""
Otras;10 Comunitat Valenciana;2001M01;""
Otras;10 Comunitat Valenciana;2000M12;""
Otras;10 Comunitat Valenciana;2000M11;""
Otras;10 Comunitat Valenciana;2000M10;""
Otras;10 Comunitat Valenciana;2000M09;""
Otras;10 Comunitat Valenciana;2000M08;""
Otras;10 Comunitat Valenciana;2000M07;""
Otras;10 Comunitat Valenciana;2000M06;""
Otras;10 Comunitat Valenciana;2000M05;""
Otras;10 Comunitat Valenciana;2000M04;""
Otras;10 Comunitat Valenciana;2000M03;""
Otras;10 Comunitat Valenciana;2000M02;""
Otras;10 Comunitat Valenciana;2000M01;""
Otras;10 Comunitat Valenciana;1999M12;""
Otras;10 Comunitat Valenciana;1999M11;""
Otras;10 Comunitat Valenciana;1999M10;""
Otras;10 Comunitat Valenciana;1999M09;""
Otras;10 Comunitat Valenciana;1999M08;""
Otras;10 Comunitat Valenciana;1999M07;""
Otras;10 Comunitat Valenciana;1999M06;""
Otras;10 Comunitat Valenciana;1999M05;""
Otras;10 Comunitat Valenciana;1999M04;""
Otras;10 Comunitat Valenciana;1999M03;""
Otras;10 Comunitat Valenciana;1999M02;""
Otras;10 Comunitat Valenciana;1999M01;""
Otras;10 Comunitat Valenciana;1998M12;""
Otras;10 Comunitat Valenciana;1998M11;""
Otras;10 Comunitat Valenciana;1998M10;""
Otras;10 Comunitat Valenciana;1998M09;""
Otras;10 Comunitat Valenciana;1998M08;""
Otras;10 Comunitat Valenciana;1998M07;""
Otras;10 Comunitat Valenciana;1998M06;""
Otras;10 Comunitat Valenciana;1998M05;""
Otras;10 Comunitat Valenciana;1998M04;""
Otras;10 Comunitat Valenciana;1998M03;""
Otras;10 Comunitat Valenciana;1998M02;""
Otras;10 Comunitat Valenciana;1998M01;""
Otras;10 Comunitat Valenciana;1997M12;""
Otras;10 Comunitat Valenciana;1997M11;""
Otras;10 Comunitat Valenciana;1997M10;""
Otras;10 Comunitat Valenciana;1997M09;""
Otras;10 Comunitat Valenciana;1997M08;""
Otras;10 Comunitat Valenciana;1997M07;""
Otras;10 Comunitat Valenciana;1997M06;""
Otras;10 Comunitat Valenciana;1997M05;""
Otras;10 Comunitat Valenciana;1997M04;""
Otras;10 Comunitat Valenciana;1997M03;""
Otras;10 Comunitat Valenciana;1997M02;""
Otras;10 Comunitat Valenciana;1997M01;""
Otras;10 Comunitat Valenciana;1996M12;""
Otras;10 Comunitat Valenciana;1996M11;""
Otras;10 Comunitat Valenciana;1996M10;""
Otras;10 Comunitat Valenciana;1996M09;""
Otras;10 Comunitat Valenciana;1996M08;""
Otras;10 Comunitat Valenciana;1996M07;""
Otras;10 Comunitat Valenciana;1996M06;""
Otras;10 Comunitat Valenciana;1996M05;""
Otras;10 Comunitat Valenciana;1996M04;""
Otras;10 Comunitat Valenciana;1996M03;""
Otras;10 Comunitat Valenciana;1996M02;""
Otras;10 Comunitat Valenciana;1996M01;""
Otras;10 Comunitat Valenciana;1995M12;""
Otras;10 Comunitat Valenciana;1995M11;""
Otras;10 Comunitat Valenciana;1995M10;""
Otras;10 Comunitat Valenciana;1995M09;""
Otras;10 Comunitat Valenciana;1995M08;""
Otras;10 Comunitat Valenciana;1995M07;""
Otras;10 Comunitat Valenciana;1995M06;""
Otras;10 Comunitat Valenciana;1995M05;""
Otras;10 Comunitat Valenciana;1995M04;""
Otras;10 Comunitat Valenciana;1995M03;""
Otras;10 Comunitat Valenciana;1995M02;""
Otras;10 Comunitat Valenciana;1995M01;""
Otras;11 Extremadura;2025M05;2
Otras;11 Extremadura;2025M04;2
Otras;11 Extremadura;2025M03;7
Otras;11 Extremadura;2025M02;9
Otras;11 Extremadura;2025M01;2
Otras;11 Extremadura;2024M12;4
Otras;11 Extremadura;2024M11;2
Otras;11 Extremadura;2024M10;6
Otras;11 Extremadura;2024M09;1
Otras;11 Extremadura;2024M08;0
Otras;11 Extremadura;2024M07;5
Otras;11 Extremadura;2024M06;1
Otras;11 Extremadura;2024M05;4
Otras;11 Extremadura;2024M04;7
Otras;11 Extremadura;2024M03;1
Otras;11 Extremadura;2024M02;4
Otras;11 Extremadura;2024M01;3
Otras;11 Extremadura;2023M12;2
Otras;11 Extremadura;2023M11;0
Otras;11 Extremadura;2023M10;1
Otras;11 Extremadura;2023M09;0
Otras;11 Extremadura;2023M08;3
Otras;11 Extremadura;2023M07;1
Otras;11 Extremadura;2023M06;3
Otras;11 Extremadura;2023M05;1
Otras;11 Extremadura;2023M04;2
Otras;11 Extremadura;2023M03;2
Otras;11 Extremadura;2023M02;1
Otras;11 Extremadura;2023M01;1
Otras;11 Extremadura;2022M12;2
Otras;11 Extremadura;2022M11;1
Otras;11 Extremadura;2022M10;2
Otras;11 Extremadura;2022M09;0
Otras;11 Extremadura;2022M08;0
Otras;11 Extremadura;2022M07;3
Otras;11 Extremadura;2022M06;0
Otras;11 Extremadura;2022M05;3
Otras;11 Extremadura;2022M04;1
Otras;11 Extremadura;2022M03;1
Otras;11 Extremadura;2022M02;3
Otras;11 Extremadura;2022M01;5
Otras;11 Extremadura;2021M12;2
Otras;11 Extremadura;2021M11;0
Otras;11 Extremadura;2021M10;2
Otras;11 Extremadura;2021M09;3
Otras;11 Extremadura;2021M08;0
Otras;11 Extremadura;2021M07;5
Otras;11 Extremadura;2021M06;7
Otras;11 Extremadura;2021M05;1
Otras;11 Extremadura;2021M04;3
Otras;11 Extremadura;2021M03;3
Otras;11 Extremadura;2021M02;1
Otras;11 Extremadura;2021M01;2
Otras;11 Extremadura;2020M12;2
Otras;11 Extremadura;2020M11;2
Otras;11 Extremadura;2020M10;1
Otras;11 Extremadura;2020M09;1
Otras;11 Extremadura;2020M08;1
Otras;11 Extremadura;2020M07;1
Otras;11 Extremadura;2020M06;1
Otras;11 Extremadura;2020M05;0
Otras;11 Extremadura;2020M04;0
Otras;11 Extremadura;2020M03;3
Otras;11 Extremadura;2020M02;1
Otras;11 Extremadura;2020M01;1
Otras;11 Extremadura;2019M12;0
Otras;11 Extremadura;2019M11;2
Otras;11 Extremadura;2019M10;1
Otras;11 Extremadura;2019M09;2
Otras;11 Extremadura;2019M08;1
Otras;11 Extremadura;2019M07;2
Otras;11 Extremadura;2019M06;5
Otras;11 Extremadura;2019M05;0
Otras;11 Extremadura;2019M04;0
Otras;11 Extremadura;2019M03;0
Otras;11 Extremadura;2019M02;0
Otras;11 Extremadura;2019M01;3
Otras;11 Extremadura;2018M12;2
Otras;11 Extremadura;2018M11;5
Otras;11 Extremadura;2018M10;4
Otras;11 Extremadura;2018M09;5
Otras;11 Extremadura;2018M08;0
Otras;11 Extremadura;2018M07;3
Otras;11 Extremadura;2018M06;2
Otras;11 Extremadura;2018M05;0
Otras;11 Extremadura;2018M04;4
Otras;11 Extremadura;2018M03;3
Otras;11 Extremadura;2018M02;4
Otras;11 Extremadura;2018M01;2
Otras;11 Extremadura;2017M12;0
Otras;11 Extremadura;2017M11;3
Otras;11 Extremadura;2017M10;1
Otras;11 Extremadura;2017M09;1
Otras;11 Extremadura;2017M08;4
Otras;11 Extremadura;2017M07;7
Otras;11 Extremadura;2017M06;6
Otras;11 Extremadura;2017M05;2
Otras;11 Extremadura;2017M04;7
Otras;11 Extremadura;2017M03;5
Otras;11 Extremadura;2017M02;3
Otras;11 Extremadura;2017M01;2
Otras;11 Extremadura;2016M12;5
Otras;11 Extremadura;2016M11;6
Otras;11 Extremadura;2016M10;1
Otras;11 Extremadura;2016M09;1
Otras;11 Extremadura;2016M08;2
Otras;11 Extremadura;2016M07;1
Otras;11 Extremadura;2016M06;3
Otras;11 Extremadura;2016M05;5
Otras;11 Extremadura;2016M04;7
Otras;11 Extremadura;2016M03;2
Otras;11 Extremadura;2016M02;0
Otras;11 Extremadura;2016M01;4
Otras;11 Extremadura;2015M12;9
Otras;11 Extremadura;2015M11;4
Otras;11 Extremadura;2015M10;2
Otras;11 Extremadura;2015M09;4
Otras;11 Extremadura;2015M08;6
Otras;11 Extremadura;2015M07;3
Otras;11 Extremadura;2015M06;1
Otras;11 Extremadura;2015M05;8
Otras;11 Extremadura;2015M04;12
Otras;11 Extremadura;2015M03;6
Otras;11 Extremadura;2015M02;4
Otras;11 Extremadura;2015M01;4
Otras;11 Extremadura;2014M12;4
Otras;11 Extremadura;2014M11;7
Otras;11 Extremadura;2014M10;15
Otras;11 Extremadura;2014M09;5
Otras;11 Extremadura;2014M08;1
Otras;11 Extremadura;2014M07;10
Otras;11 Extremadura;2014M06;6
Otras;11 Extremadura;2014M05;12
Otras;11 Extremadura;2014M04;9
Otras;11 Extremadura;2014M03;4
Otras;11 Extremadura;2014M02;10
Otras;11 Extremadura;2014M01;5
Otras;11 Extremadura;2013M12;5
Otras;11 Extremadura;2013M11;11
Otras;11 Extremadura;2013M10;9
Otras;11 Extremadura;2013M09;4
Otras;11 Extremadura;2013M08;6
Otras;11 Extremadura;2013M07;7
Otras;11 Extremadura;2013M06;4
Otras;11 Extremadura;2013M05;13
Otras;11 Extremadura;2013M04;8
Otras;11 Extremadura;2013M03;5
Otras;11 Extremadura;2013M02;5
Otras;11 Extremadura;2013M01;3
Otras;11 Extremadura;2012M12;8
Otras;11 Extremadura;2012M11;14
Otras;11 Extremadura;2012M10;14
Otras;11 Extremadura;2012M09;4
Otras;11 Extremadura;2012M08;5
Otras;11 Extremadura;2012M07;2
Otras;11 Extremadura;2012M06;3
Otras;11 Extremadura;2012M05;5
Otras;11 Extremadura;2012M04;3
Otras;11 Extremadura;2012M03;3
Otras;11 Extremadura;2012M02;3
Otras;11 Extremadura;2012M01;7
Otras;11 Extremadura;2011M12;1
Otras;11 Extremadura;2011M11;3
Otras;11 Extremadura;2011M10;6
Otras;11 Extremadura;2011M09;3
Otras;11 Extremadura;2011M08;1
Otras;11 Extremadura;2011M07;6
Otras;11 Extremadura;2011M06;3
Otras;11 Extremadura;2011M05;0
Otras;11 Extremadura;2011M04;6
Otras;11 Extremadura;2011M03;6
Otras;11 Extremadura;2011M02;4
Otras;11 Extremadura;2011M01;3
Otras;11 Extremadura;2010M12;4
Otras;11 Extremadura;2010M11;4
Otras;11 Extremadura;2010M10;4
Otras;11 Extremadura;2010M09;1
Otras;11 Extremadura;2010M08;3
Otras;11 Extremadura;2010M07;3
Otras;11 Extremadura;2010M06;4
Otras;11 Extremadura;2010M05;1
Otras;11 Extremadura;2010M04;3
Otras;11 Extremadura;2010M03;2
Otras;11 Extremadura;2010M02;5
Otras;11 Extremadura;2010M01;3
Otras;11 Extremadura;2009M12;1
Otras;11 Extremadura;2009M11;0
Otras;11 Extremadura;2009M10;3
Otras;11 Extremadura;2009M09;0
Otras;11 Extremadura;2009M08;0
Otras;11 Extremadura;2009M07;0
Otras;11 Extremadura;2009M06;2
Otras;11 Extremadura;2009M05;0
Otras;11 Extremadura;2009M04;0
Otras;11 Extremadura;2009M03;1
Otras;11 Extremadura;2009M02;1
Otras;11 Extremadura;2009M01;1
Otras;11 Extremadura;2008M12;1
Otras;11 Extremadura;2008M11;1
Otras;11 Extremadura;2008M10;0
Otras;11 Extremadura;2008M09;0
Otras;11 Extremadura;2008M08;0
Otras;11 Extremadura;2008M07;1
Otras;11 Extremadura;2008M06;1
Otras;11 Extremadura;2008M05;0
Otras;11 Extremadura;2008M04;0
Otras;11 Extremadura;2008M03;0
Otras;11 Extremadura;2008M02;0
Otras;11 Extremadura;2008M01;1
Otras;11 Extremadura;2007M12;""
Otras;11 Extremadura;2007M11;""
Otras;11 Extremadura;2007M10;""
Otras;11 Extremadura;2007M09;""
Otras;11 Extremadura;2007M08;""
Otras;11 Extremadura;2007M07;""
Otras;11 Extremadura;2007M06;""
Otras;11 Extremadura;2007M05;""
Otras;11 Extremadura;2007M04;""
Otras;11 Extremadura;2007M03;""
Otras;11 Extremadura;2007M02;""
Otras;11 Extremadura;2007M01;""
Otras;11 Extremadura;2006M12;""
Otras;11 Extremadura;2006M11;""
Otras;11 Extremadura;2006M10;""
Otras;11 Extremadura;2006M09;""
Otras;11 Extremadura;2006M08;""
Otras;11 Extremadura;2006M07;""
Otras;11 Extremadura;2006M06;""
Otras;11 Extremadura;2006M05;""
Otras;11 Extremadura;2006M04;""
Otras;11 Extremadura;2006M03;""
Otras;11 Extremadura;2006M02;""
Otras;11 Extremadura;2006M01;""
Otras;11 Extremadura;2005M12;""
Otras;11 Extremadura;2005M11;""
Otras;11 Extremadura;2005M10;""
Otras;11 Extremadura;2005M09;""
Otras;11 Extremadura;2005M08;""
Otras;11 Extremadura;2005M07;""
Otras;11 Extremadura;2005M06;""
Otras;11 Extremadura;2005M05;""
Otras;11 Extremadura;2005M04;""
Otras;11 Extremadura;2005M03;""
Otras;11 Extremadura;2005M02;""
Otras;11 Extremadura;2005M01;""
Otras;11 Extremadura;2004M12;""
Otras;11 Extremadura;2004M11;""
Otras;11 Extremadura;2004M10;""
Otras;11 Extremadura;2004M09;""
Otras;11 Extremadura;2004M08;""
Otras;11 Extremadura;2004M07;""
Otras;11 Extremadura;2004M06;""
Otras;11 Extremadura;2004M05;""
Otras;11 Extremadura;2004M04;""
Otras;11 Extremadura;2004M03;""
Otras;11 Extremadura;2004M02;""
Otras;11 Extremadura;2004M01;""
Otras;11 Extremadura;2003M12;""
Otras;11 Extremadura;2003M11;""
Otras;11 Extremadura;2003M10;""
Otras;11 Extremadura;2003M09;""
Otras;11 Extremadura;2003M08;""
Otras;11 Extremadura;2003M07;""
Otras;11 Extremadura;2003M06;""
Otras;11 Extremadura;2003M05;""
Otras;11 Extremadura;2003M04;""
Otras;11 Extremadura;2003M03;""
Otras;11 Extremadura;2003M02;""
Otras;11 Extremadura;2003M01;""
Otras;11 Extremadura;2002M12;""
Otras;11 Extremadura;2002M11;""
Otras;11 Extremadura;2002M10;""
Otras;11 Extremadura;2002M09;""
Otras;11 Extremadura;2002M08;""
Otras;11 Extremadura;2002M07;""
Otras;11 Extremadura;2002M06;""
Otras;11 Extremadura;2002M05;""
Otras;11 Extremadura;2002M04;""
Otras;11 Extremadura;2002M03;""
Otras;11 Extremadura;2002M02;""
Otras;11 Extremadura;2002M01;""
Otras;11 Extremadura;2001M12;""
Otras;11 Extremadura;2001M11;""
Otras;11 Extremadura;2001M10;""
Otras;11 Extremadura;2001M09;""
Otras;11 Extremadura;2001M08;""
Otras;11 Extremadura;2001M07;""
Otras;11 Extremadura;2001M06;""
Otras;11 Extremadura;2001M05;""
Otras;11 Extremadura;2001M04;""
Otras;11 Extremadura;2001M03;""
Otras;11 Extremadura;2001M02;""
Otras;11 Extremadura;2001M01;""
Otras;11 Extremadura;2000M12;""
Otras;11 Extremadura;2000M11;""
Otras;11 Extremadura;2000M10;""
Otras;11 Extremadura;2000M09;""
Otras;11 Extremadura;2000M08;""
Otras;11 Extremadura;2000M07;""
Otras;11 Extremadura;2000M06;""
Otras;11 Extremadura;2000M05;""
Otras;11 Extremadura;2000M04;""
Otras;11 Extremadura;2000M03;""
Otras;11 Extremadura;2000M02;""
Otras;11 Extremadura;2000M01;""
Otras;11 Extremadura;1999M12;""
Otras;11 Extremadura;1999M11;""
Otras;11 Extremadura;1999M10;""
Otras;11 Extremadura;1999M09;""
Otras;11 Extremadura;1999M08;""
Otras;11 Extremadura;1999M07;""
Otras;11 Extremadura;1999M06;""
Otras;11 Extremadura;1999M05;""
Otras;11 Extremadura;1999M04;""
Otras;11 Extremadura;1999M03;""
Otras;11 Extremadura;1999M02;""
Otras;11 Extremadura;1999M01;""
Otras;11 Extremadura;1998M12;""
Otras;11 Extremadura;1998M11;""
Otras;11 Extremadura;1998M10;""
Otras;11 Extremadura;1998M09;""
Otras;11 Extremadura;1998M08;""
Otras;11 Extremadura;1998M07;""
Otras;11 Extremadura;1998M06;""
Otras;11 Extremadura;1998M05;""
Otras;11 Extremadura;1998M04;""
Otras;11 Extremadura;1998M03;""
Otras;11 Extremadura;1998M02;""
Otras;11 Extremadura;1998M01;""
Otras;11 Extremadura;1997M12;""
Otras;11 Extremadura;1997M11;""
Otras;11 Extremadura;1997M10;""
Otras;11 Extremadura;1997M09;""
Otras;11 Extremadura;1997M08;""
Otras;11 Extremadura;1997M07;""
Otras;11 Extremadura;1997M06;""
Otras;11 Extremadura;1997M05;""
Otras;11 Extremadura;1997M04;""
Otras;11 Extremadura;1997M03;""
Otras;11 Extremadura;1997M02;""
Otras;11 Extremadura;1997M01;""
Otras;11 Extremadura;1996M12;""
Otras;11 Extremadura;1996M11;""
Otras;11 Extremadura;1996M10;""
Otras;11 Extremadura;1996M09;""
Otras;11 Extremadura;1996M08;""
Otras;11 Extremadura;1996M07;""
Otras;11 Extremadura;1996M06;""
Otras;11 Extremadura;1996M05;""
Otras;11 Extremadura;1996M04;""
Otras;11 Extremadura;1996M03;""
Otras;11 Extremadura;1996M02;""
Otras;11 Extremadura;1996M01;""
Otras;11 Extremadura;1995M12;""
Otras;11 Extremadura;1995M11;""
Otras;11 Extremadura;1995M10;""
Otras;11 Extremadura;1995M09;""
Otras;11 Extremadura;1995M08;""
Otras;11 Extremadura;1995M07;""
Otras;11 Extremadura;1995M06;""
Otras;11 Extremadura;1995M05;""
Otras;11 Extremadura;1995M04;""
Otras;11 Extremadura;1995M03;""
Otras;11 Extremadura;1995M02;""
Otras;11 Extremadura;1995M01;""
Otras;12 Galicia;2025M05;11
Otras;12 Galicia;2025M04;9
Otras;12 Galicia;2025M03;10
Otras;12 Galicia;2025M02;17
Otras;12 Galicia;2025M01;8
Otras;12 Galicia;2024M12;11
Otras;12 Galicia;2024M11;10
Otras;12 Galicia;2024M10;10
Otras;12 Galicia;2024M09;9
Otras;12 Galicia;2024M08;10
Otras;12 Galicia;2024M07;11
Otras;12 Galicia;2024M06;10
Otras;12 Galicia;2024M05;7
Otras;12 Galicia;2024M04;13
Otras;12 Galicia;2024M03;8
Otras;12 Galicia;2024M02;5
Otras;12 Galicia;2024M01;13
Otras;12 Galicia;2023M12;10
Otras;12 Galicia;2023M11;16
Otras;12 Galicia;2023M10;14
Otras;12 Galicia;2023M09;4
Otras;12 Galicia;2023M08;5
Otras;12 Galicia;2023M07;12
Otras;12 Galicia;2023M06;14
Otras;12 Galicia;2023M05;6
Otras;12 Galicia;2023M04;9
Otras;12 Galicia;2023M03;4
Otras;12 Galicia;2023M02;9
Otras;12 Galicia;2023M01;6
Otras;12 Galicia;2022M12;17
Otras;12 Galicia;2022M11;15
Otras;12 Galicia;2022M10;9
Otras;12 Galicia;2022M09;10
Otras;12 Galicia;2022M08;5
Otras;12 Galicia;2022M07;15
Otras;12 Galicia;2022M06;20
Otras;12 Galicia;2022M05;16
Otras;12 Galicia;2022M04;10
Otras;12 Galicia;2022M03;16
Otras;12 Galicia;2022M02;15
Otras;12 Galicia;2022M01;12
Otras;12 Galicia;2021M12;8
Otras;12 Galicia;2021M11;12
Otras;12 Galicia;2021M10;27
Otras;12 Galicia;2021M09;8
Otras;12 Galicia;2021M08;7
Otras;12 Galicia;2021M07;15
Otras;12 Galicia;2021M06;19
Otras;12 Galicia;2021M05;30
Otras;12 Galicia;2021M04;15
Otras;12 Galicia;2021M03;32
Otras;12 Galicia;2021M02;11
Otras;12 Galicia;2021M01;16
Otras;12 Galicia;2020M12;18
Otras;12 Galicia;2020M11;21
Otras;12 Galicia;2020M10;20
Otras;12 Galicia;2020M09;6
Otras;12 Galicia;2020M08;13
Otras;12 Galicia;2020M07;11
Otras;12 Galicia;2020M06;8
Otras;12 Galicia;2020M05;2
Otras;12 Galicia;2020M04;6
Otras;12 Galicia;2020M03;19
Otras;12 Galicia;2020M02;13
Otras;12 Galicia;2020M01;13
Otras;12 Galicia;2019M12;7
Otras;12 Galicia;2019M11;23
Otras;12 Galicia;2019M10;14
Otras;12 Galicia;2019M09;13
Otras;12 Galicia;2019M08;7
Otras;12 Galicia;2019M07;21
Otras;12 Galicia;2019M06;17
Otras;12 Galicia;2019M05;11
Otras;12 Galicia;2019M04;16
Otras;12 Galicia;2019M03;16
Otras;12 Galicia;2019M02;17
Otras;12 Galicia;2019M01;14
Otras;12 Galicia;2018M12;21
Otras;12 Galicia;2018M11;14
Otras;12 Galicia;2018M10;17
Otras;12 Galicia;2018M09;14
Otras;12 Galicia;2018M08;14
Otras;12 Galicia;2018M07;17
Otras;12 Galicia;2018M06;9
Otras;12 Galicia;2018M05;12
Otras;12 Galicia;2018M04;14
Otras;12 Galicia;2018M03;12
Otras;12 Galicia;2018M02;19
Otras;12 Galicia;2018M01;15
Otras;12 Galicia;2017M12;8
Otras;12 Galicia;2017M11;10
Otras;12 Galicia;2017M10;18
Otras;12 Galicia;2017M09;6
Otras;12 Galicia;2017M08;10
Otras;12 Galicia;2017M07;11
Otras;12 Galicia;2017M06;21
Otras;12 Galicia;2017M05;19
Otras;12 Galicia;2017M04;23
Otras;12 Galicia;2017M03;20
Otras;12 Galicia;2017M02;14
