TIME_PERIOD#es,TIME_PERIOD#ca,TIME_PERIOD_CODE,LUGAR_RESIDENCIA#es,LUGAR_RESIDENCIA#ca,LUGAR_RESIDENCIA_CODE,AEROPUERTO_ORIGEN#es,AEROPUERTO_ORIGEN#ca,AEROPUERTO_ORIGEN_CODE,OBS_VALUE,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION_CODE,NOTAS_OBSERVACION#es,NOTAS_OBSERVACION#ca,CONFIDENCIALIDAD_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#ca
08/2024,08/2024,2024-M08,Total,Total,_T,Extranjero,Estranger,FOREIGN,100.00,Valor provisional,Valor provisional,P,,,,
08/2024,08/2024,2024-M08,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjero,Estranger,FOREIGN,0.38,Valor provisional,Valor provisional,P,,,,
08/2024,08/2024,2024-M08,Illes Balears,Illes Balears,IB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,6.71,Valor provisional,Valor provisional,P,,,,
08/2024,08/2024,2024-M08,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,79.47,Valor provisional,Valor provisional,P,,,,
08/2024,08/2024,2024-M08,Total,Total,_T,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,100.00,Valor provisional,Valor provisional,P,,,,
08/2024,08/2024,2024-M08,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,13.83,Valor provisional,Valor provisional,P,,,,
07/2024,07/2024,2024-M07,Illes Balears,Illes Balears,IB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,26.46,Valor provisional,Valor provisional,P,,,,
07/2024,07/2024,2024-M07,Mundo (excluida España),Món (exclosa Espanya),5000_XES,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,22.35,Valor provisional,Valor provisional,P,,,,
07/2024,07/2024,2024-M07,Total,Total,_T,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,100.00,Valor provisional,Valor provisional,P,,,,
07/2024,07/2024,2024-M07,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,51.19,Valor provisional,Valor provisional,P,,,,
07/2024,07/2024,2024-M07,Illes Balears,Illes Balears,IB,Extranjero,Estranger,FOREIGN,2.88,Valor provisional,Valor provisional,P,,,,
07/2024,07/2024,2024-M07,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjero,Estranger,FOREIGN,96.64,Valor provisional,Valor provisional,P,,,,
07/2024,07/2024,2024-M07,Total,Total,_T,Extranjero,Estranger,FOREIGN,100.00,Valor provisional,Valor provisional,P,,,,
07/2024,07/2024,2024-M07,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjero,Estranger,FOREIGN,0.47,Valor provisional,Valor provisional,P,,,,
07/2024,07/2024,2024-M07,Illes Balears,Illes Balears,IB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,8.36,Valor provisional,Valor provisional,P,,,,
07/2024,07/2024,2024-M07,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,79.39,Valor provisional,Valor provisional,P,,,,
07/2024,07/2024,2024-M07,Total,Total,_T,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,100.00,Valor provisional,Valor provisional,P,,,,
07/2024,07/2024,2024-M07,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,12.25,Valor provisional,Valor provisional,P,,,,
06/2024,06/2024,2024-M06,Illes Balears,Illes Balears,IB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,26.13,Valor provisional,Valor provisional,P,,,,
06/2024,06/2024,2024-M06,Mundo (excluida España),Món (exclosa Espanya),5000_XES,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,20.65,Valor provisional,Valor provisional,P,,,,
06/2024,06/2024,2024-M06,Total,Total,_T,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,100.00,Valor provisional,Valor provisional,P,,,,
06/2024,06/2024,2024-M06,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,53.22,Valor provisional,Valor provisional,P,,,,
06/2024,06/2024,2024-M06,Illes Balears,Illes Balears,IB,Extranjero,Estranger,FOREIGN,2.44,Valor provisional,Valor provisional,P,,,,
06/2024,06/2024,2024-M06,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjero,Estranger,FOREIGN,97.50,Valor provisional,Valor provisional,P,,,,
06/2024,06/2024,2024-M06,Total,Total,_T,Extranjero,Estranger,FOREIGN,100.00,Valor provisional,Valor provisional,P,,,,
06/2024,06/2024,2024-M06,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjero,Estranger,FOREIGN,,Baja fiabilidad,Baixa fiabilitat,U,,,,
06/2024,06/2024,2024-M06,Illes Balears,Illes Balears,IB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,8.10,Valor provisional,Valor provisional,P,,,,
06/2024,06/2024,2024-M06,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,79.12,Valor provisional,Valor provisional,P,,,,
06/2024,06/2024,2024-M06,Total,Total,_T,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,100.00,Valor provisional,Valor provisional,P,,,,
06/2024,06/2024,2024-M06,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,12.77,Valor provisional,Valor provisional,P,,,,
05/2024,05/2024,2024-M05,Illes Balears,Illes Balears,IB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,35.07,Valor provisional,Valor provisional,P,,,,
05/2024,05/2024,2024-M05,Mundo (excluida España),Món (exclosa Espanya),5000_XES,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,16.44,Valor provisional,Valor provisional,P,,,,
05/2024,05/2024,2024-M05,Total,Total,_T,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,100.00,Valor provisional,Valor provisional,P,,,,
05/2024,05/2024,2024-M05,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,48.49,Valor provisional,Valor provisional,P,,,,
05/2024,05/2024,2024-M05,Illes Balears,Illes Balears,IB,Extranjero,Estranger,FOREIGN,3.45,Valor provisional,Valor provisional,P,,,,
05/2024,05/2024,2024-M05,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjero,Estranger,FOREIGN,96.41,Valor provisional,Valor provisional,P,,,,
05/2024,05/2024,2024-M05,Total,Total,_T,Extranjero,Estranger,FOREIGN,100.00,Valor provisional,Valor provisional,P,,,,
05/2024,05/2024,2024-M05,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjero,Estranger,FOREIGN,,Baja fiabilidad,Baixa fiabilitat,U,,,,
05/2024,05/2024,2024-M05,Illes Balears,Illes Balears,IB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,10.57,Valor provisional,Valor provisional,P,,,,
05/2024,05/2024,2024-M05,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,78.41,Valor provisional,Valor provisional,P,,,,
05/2024,05/2024,2024-M05,Total,Total,_T,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,100.00,Valor provisional,Valor provisional,P,,,,
05/2024,05/2024,2024-M05,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,11.02,Valor provisional,Valor provisional,P,,,,
04/2024,04/2024,2024-M04,Illes Balears,Illes Balears,IB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,40.23,Valor provisional,Valor provisional,P,,,,
