MEDIDAS#ca,MEDIDAS#es,MEDIDAS_CODE,TIME_PERIOD#ca,TIME_PERIOD#es,TIME_PERIOD_CODE,LUGAR_RESIDENCIA#ca,LUGAR_RESIDENCIA#es,LUGAR_RESIDENCIA_CODE,PAQUETE_TURISTICO#ca,PAQUETE_TURISTICO#es,PAQUETE_TURISTICO_CODE,OBS_VALUE,NOTAS_OBSERVACION#ca,NOTAS_OBSERVACION#es,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE,CONFIDENCIALIDAD_OBSERVACION#ca,CONFIDENCIALIDAD_OBSERVACION#es
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Espanya (exclosa Illes Balears),España (excluida Illes Balears),ES_XIB,No,No,NO,122842,,,Valor provisional,Valor provisional,P,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Espanya (exclosa Illes Balears),España (excluida Illes Balears),ES_XIB,Sí,Sí,SI,29.34,,,Valor provisional,Valor provisional,P,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Espanya (exclosa Illes Balears),España (excluida Illes Balears),ES_XIB,Total,Total,_T,5.13,,,Valor provisional,Valor provisional,P,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Espanya (exclosa Illes Balears),España (excluida Illes Balears),ES_XIB,No,No,NO,4.15,,,Valor provisional,Valor provisional,P,,
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Països Nòrdics,Países Nórdicos,5100_L1,Sí,Sí,SI,,,,Baixa fiabilitat,Baja fiabilidad,U,,
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Països Nòrdics,Países Nórdicos,5100_L1,Total,Total,_T,10380,,,Valor provisional,Valor provisional,P,,
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Països Nòrdics,Países Nórdicos,5100_L1,No,No,NO,9009,,,Valor provisional,Valor provisional,P,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Països Nòrdics,Países Nórdicos,5100_L1,Sí,Sí,SI,,,,Valor no disponible,Valor no disponible,O,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Països Nòrdics,Países Nórdicos,5100_L1,Total,Total,_T,93.45,,,Valor provisional,Valor provisional,P,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Països Nòrdics,Países Nórdicos,5100_L1,No,No,NO,69.21,,,Valor provisional,Valor provisional,P,,
