MEDIDAS#es,MEDIDAS#ca,MEDIDAS_CODE,TIME_PERIOD#es,TIME_PERIOD#ca,TIME_PERIOD_CODE,TIPOS_ALOJAMIENTO#es,TIPOS_ALOJAMIENTO#ca,TIPOS_ALOJAMIENTO_CODE,OBS_VALUE,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION_CODE,NOTAS_OBSERVACION#es,NOTAS_OBSERVACION#ca,CONFIDENCIALIDAD_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#ca
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,12/2024,12/2024,2024-M12,Vivienda propia (segunda residencia),Habitatge propi (segona residència),VIV_PROPIA,17.52,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,12/2024,12/2024,2024-M12,Total,Total,_T,296261,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,12/2024,12/2024,2024-M12,Total,Total,_T,6.18,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,12/2024,12/2024,2024-M12,Hoteles y similares,Hotels i similars,HOTEL_O_SIMILAR,90265,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,12/2024,12/2024,2024-M12,Hoteles y similares,Hotels i similars,HOTEL_O_SIMILAR,12.13,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,12/2024,12/2024,2024-M12,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,174420,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,12/2024,12/2024,2024-M12,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,13.60,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,12/2024,12/2024,2024-M12,Alojamiento en alquiler,Allotjament de lloguer,VIVIENDA_VACACIONAL,26394,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,12/2024,12/2024,2024-M12,Alojamiento en alquiler,Allotjament de lloguer,VIVIENDA_VACACIONAL,-11.70,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,12/2024,12/2024,2024-M12,Vivienda de familiares y amigos,Habitatge de familiars i amics,VIV_FAMILIARES_AMIGOS,125648,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,12/2024,12/2024,2024-M12,Vivienda de familiares y amigos,Habitatge de familiars i amics,VIV_FAMILIARES_AMIGOS,12.62,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,12/2024,12/2024,2024-M12,Otro alojamiento turístico de no mercado,Un altre allotjament turístic de no mercat,NO_MERCADO_O,5048,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,12/2024,12/2024,2024-M12,Otro alojamiento turístico de no mercado,Un altre allotjament turístic de no mercat,NO_MERCADO_O,5.91,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,12/2024,12/2024,2024-M12,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,121841,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,12/2024,12/2024,2024-M12,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,-2.91,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,11/2024,11/2024,2024-M11,Otro alojamiento turístico de mercado,Un altre allotjament turístic de mercat,MERCADO_O,6773,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,11/2024,11/2024,2024-M11,Otro alojamiento turístico de mercado,Un altre allotjament turístic de mercat,MERCADO_O,-25.27,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,11/2024,11/2024,2024-M11,Vivienda propia (segunda residencia),Habitatge propi (segona residència),VIV_PROPIA,67992,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,11/2024,11/2024,2024-M11,Vivienda propia (segunda residencia),Habitatge propi (segona residència),VIV_PROPIA,43.14,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,11/2024,11/2024,2024-M11,Total,Total,_T,370250,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,11/2024,11/2024,2024-M11,Total,Total,_T,18.16,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,11/2024,11/2024,2024-M11,Hoteles y similares,Hotels i similars,HOTEL_O_SIMILAR,110910,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,11/2024,11/2024,2024-M11,Hoteles y similares,Hotels i similars,HOTEL_O_SIMILAR,14.27,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,11/2024,11/2024,2024-M11,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,203934,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,11/2024,11/2024,2024-M11,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,30.15,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,11/2024,11/2024,2024-M11,Alojamiento en alquiler,Allotjament de lloguer,VIVIENDA_VACACIONAL,48633,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,11/2024,11/2024,2024-M11,Alojamiento en alquiler,Allotjament de lloguer,VIVIENDA_VACACIONAL,-3.78,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,11/2024,11/2024,2024-M11,Vivienda de familiares y amigos,Habitatge de familiars i amics,VIV_FAMILIARES_AMIGOS,121573,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,11/2024,11/2024,2024-M11,Vivienda de familiares y amigos,Habitatge de familiars i amics,VIV_FAMILIARES_AMIGOS,15.24,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,11/2024,11/2024,2024-M11,Otro alojamiento turístico de no mercado,Un altre allotjament turístic de no mercat,NO_MERCADO_O,14369,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,11/2024,11/2024,2024-M11,Otro alojamiento turístico de no mercado,Un altre allotjament turístic de no mercat,NO_MERCADO_O,289.90,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,11/2024,11/2024,2024-M11,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,166316,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,11/2024,11/2024,2024-M11,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,6.16,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,10/2024,10/2024,2024-M10,Otro alojamiento turístico de mercado,Un altre allotjament turístic de mercat,MERCADO_O,40997,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,10/2024,10/2024,2024-M10,Otro alojamiento turístico de mercado,Un altre allotjament turístic de mercat,MERCADO_O,-33.44,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,10/2024,10/2024,2024-M10,Vivienda propia (segunda residencia),Habitatge propi (segona residència),VIV_PROPIA,90949,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,10/2024,10/2024,2024-M10,Vivienda propia (segunda residencia),Habitatge propi (segona residència),VIV_PROPIA,3.44,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,10/2024,10/2024,2024-M10,Total,Total,_T,1816424,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,10/2024,10/2024,2024-M10,Total,Total,_T,7.58,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,10/2024,10/2024,2024-M10,Hoteles y similares,Hotels i similars,HOTEL_O_SIMILAR,1415250,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,10/2024,10/2024,2024-M10,Hoteles y similares,Hotels i similars,HOTEL_O_SIMILAR,17.15,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,10/2024,10/2024,2024-M10,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,205360,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,10/2024,10/2024,2024-M10,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,-23.19,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,10/2024,10/2024,2024-M10,Alojamiento en alquiler,Allotjament de lloguer,VIVIENDA_VACACIONAL,154818,Valor provisional,Valor provisional,P,,,,
