MEDIDAS#ca,MEDIDAS#es,MEDIDAS_CODE,TIME_PERIOD#ca,TIME_PERIOD#es,TIME_PERIOD_CODE,LUGAR_RESIDENCIA#ca,LUGAR_RESIDENCIA#es,LUGAR_RESIDENCIA_CODE,OBS_VALUE,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE,CONFIDENCIALIDAD_OBSERVACION#ca,CONFIDENCIALIDAD_OBSERVACION#es,NOTAS_OBSERVACION#ca,NOTAS_OBSERVACION#es
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,12/2024,12/2024,2024-M12,Alemanya,Alemania,DE,31.46,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,12/2024,12/2024,2024-M12,Espanya (exclosa Illes Balears),España (excluida Illes Balears),ES_XIB,113815,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,12/2024,12/2024,2024-M12,Espanya (exclosa Illes Balears),España (excluida Illes Balears),ES_XIB,0.33,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,12/2024,12/2024,2024-M12,Països Nòrdics,Países Nórdicos,5100_L1,6184,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,12/2024,12/2024,2024-M12,Països Nòrdics,Países Nórdicos,5100_L1,3.66,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,12/2024,12/2024,2024-M12,Altres països o territoris d'Europa (exclosa Espanya),Otros países o territorios de Europa (excluida España),5100_XES_O,8285,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,12/2024,12/2024,2024-M12,Altres països o territoris d'Europa (exclosa Espanya),Otros países o territorios de Europa (excluida España),5100_XES_O,-69.83,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,12/2024,12/2024,2024-M12,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,18867,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,12/2024,12/2024,2024-M12,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,127.22,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,12/2024,12/2024,2024-M12,Bèlgica,Bélgica,BE,3799,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,12/2024,12/2024,2024-M12,Bèlgica,Bélgica,BE,8.04,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,12/2024,12/2024,2024-M12,Països Baixos,Países Bajos,NL,4804,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,12/2024,12/2024,2024-M12,Països Baixos,Países Bajos,NL,-34.12,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,12/2024,12/2024,2024-M12,Suïssa,Suiza,CH,10916,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,12/2024,12/2024,2024-M12,Suïssa,Suiza,CH,8.56,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,12/2024,12/2024,2024-M12,França,Francia,FR,7655,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,12/2024,12/2024,2024-M12,França,Francia,FR,-4.12,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,12/2024,12/2024,2024-M12,Regne Unit,Reino Unido,GB,17287,Valor provisional,Valor provisional,P,,,,
