MEDIDAS#es,MEDIDAS#ca,MEDIDAS_CODE,TIME_PERIOD#es,TIME_PERIOD#ca,TIME_PERIOD_CODE,LUGAR_RESIDENCIA#es,LUGAR_RESIDENCIA#ca,LUGAR_RESIDENCIA_CODE,MOTIVO_PRINCIPAL_VIAJE_TURISTICO#es,MOTIVO_PRINCIPAL_VIAJE_TURISTICO#ca,MOTIVO_PRINCIPAL_VIAJE_TURISTICO_CODE,OBS_VALUE,CONFIDENCIALIDAD_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#ca,NOTAS_OBSERVACION#es,NOTAS_OBSERVACION#ca,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION_CODE
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Reino Unido,Regne Unit,GB,Total,Total,_T,-1.51,,,,,Valor provisional,Valor provisional,P
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Reino Unido,Regne Unit,GB,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,-42.05,,,,,Valor provisional,Valor provisional,P
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Reino Unido,Regne Unit,GB,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,92.21,,,,,Valor provisional,Valor provisional,P
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Reino Unido,Regne Unit,GB,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,7.25,,,,,Valor provisional,Valor provisional,P
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,Total,Total,_T,276644,,,,,Valor provisional,Valor provisional,P
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,82005,,,,,Valor provisional,Valor provisional,P
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,17092,,,,,Valor provisional,Valor provisional,P
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,177547,,,,,Valor provisional,Valor provisional,P
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,Total,Total,_T,5.59,,,,,Valor provisional,Valor provisional,P
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,-17.56,,,,,Valor provisional,Valor provisional,P
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,-21.19,,,,,Valor provisional,Valor provisional,P
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,26.07,,,,,Valor provisional,Valor provisional,P
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Total,Total,_T,147620,,,,,Valor provisional,Valor provisional,P
