MEDIDAS#ca,MEDIDAS#es,MEDIDAS_CODE,TIME_PERIOD#ca,TIME_PERIOD#es,TIME_PERIOD_CODE,TERRITORIO#ca,TERRITORIO#es,TERRITORIO_CODE,PAQUETE_TURISTICO#ca,PAQUETE_TURISTICO#es,PAQUETE_TURISTICO_CODE,OBS_VALUE,CONFIDENCIALIDAD_OBSERVACION#ca,CONFIDENCIALIDAD_OBSERVACION#es,NOTAS_OBSERVACION#ca,NOTAS_OBSERVACION#es,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,12/2024,12/2024,2024-M12,Mallorca,Mallorca,ES532,Total,Total,_T,3.54,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,12/2024,12/2024,2024-M12,Mallorca,Mallorca,ES532,No,No,NO,3.89,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,12/2024,12/2024,2024-M12,Menorca,Menorca,ES533,Sí,Sí,SI,595,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,12/2024,12/2024,2024-M12,Menorca,Menorca,ES533,Total,Total,_T,19369,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,12/2024,12/2024,2024-M12,Menorca,Menorca,ES533,No,No,NO,18774,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,12/2024,12/2024,2024-M12,Menorca,Menorca,ES533,Sí,Sí,SI,,,,,,Valor no disponible,Valor no disponible,O
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,12/2024,12/2024,2024-M12,Menorca,Menorca,ES533,Total,Total,_T,127.19,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,12/2024,12/2024,2024-M12,Menorca,Menorca,ES533,No,No,NO,124.67,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,12/2024,12/2024,2024-M12,Eivissa i Formentera,Eivissa y Formentera,ES531,Sí,Sí,SI,383,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,12/2024,12/2024,2024-M12,Eivissa i Formentera,Eivissa y Formentera,ES531,Total,Total,_T,33262,,,,,Valor provisional,Valor provisional,P
