MEDIDAS#ca,MEDIDAS#es,MEDIDAS_CODE,TERRITORIO#ca,TERRITORIO#es,TERRITORIO_CODE,TIME_PERIOD#ca,TIME_PERIOD#es,TIME_PERIOD_CODE,LUGAR_RESIDENCIA#ca,LUGAR_RESIDENCIA#es,LUGAR_RESIDENCIA_CODE,OBS_VALUE,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE,NOTAS_OBSERVACION#ca,NOTAS_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#ca,CONFIDENCIALIDAD_OBSERVACION#es
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,Eivissa i Formentera,Eivissa y Formentera,ES531,02/2025,02/2025,2025-M02,"Bèlgica,Luxemburg i Països Baixos","Bélgica,Luxemburgo y Países Bajos",5100_L2,-66.09,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,Illes Balears,Illes Balears,ES53,02/2025,02/2025,2025-M02,Regne Unit,Reino Unido,GB,21823,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,Mallorca,Mallorca,ES532,02/2025,02/2025,2025-M02,Regne Unit,Reino Unido,GB,18874,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,Menorca,Menorca,ES533,02/2025,02/2025,2025-M02,Regne Unit,Reino Unido,GB,1913,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,Eivissa i Formentera,Eivissa y Formentera,ES531,02/2025,02/2025,2025-M02,Regne Unit,Reino Unido,GB,1037,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,Illes Balears,Illes Balears,ES53,02/2025,02/2025,2025-M02,Regne Unit,Reino Unido,GB,-1.51,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,Mallorca,Mallorca,ES532,02/2025,02/2025,2025-M02,Regne Unit,Reino Unido,GB,-7.68,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,Menorca,Menorca,ES533,02/2025,02/2025,2025-M02,Regne Unit,Reino Unido,GB,,Valor no disponible,Valor no disponible,O,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,Eivissa i Formentera,Eivissa y Formentera,ES531,02/2025,02/2025,2025-M02,Regne Unit,Reino Unido,GB,-30.52,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,Illes Balears,Illes Balears,ES53,02/2025,02/2025,2025-M02,Itàlia,Italia,IT,8102,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,Mallorca,Mallorca,ES532,02/2025,02/2025,2025-M02,Itàlia,Italia,IT,7841,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,Menorca,Menorca,ES533,02/2025,02/2025,2025-M02,Itàlia,Italia,IT,,Baixa fiabilitat,Baja fiabilidad,U,,,,
Turistes,Turistas,TURISTAS,Eivissa i Formentera,Eivissa y Formentera,ES531,02/2025,02/2025,2025-M02,Itàlia,Italia,IT,,Baixa fiabilitat,Baja fiabilidad,U,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,Illes Balears,Illes Balears,ES53,02/2025,02/2025,2025-M02,Itàlia,Italia,IT,400.30,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,Mallorca,Mallorca,ES532,02/2025,02/2025,2025-M02,Itàlia,Italia,IT,477.40,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,Menorca,Menorca,ES533,02/2025,02/2025,2025-M02,Itàlia,Italia,IT,,Valor no disponible,Valor no disponible,O,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,Eivissa i Formentera,Eivissa y Formentera,ES531,02/2025,02/2025,2025-M02,Itàlia,Italia,IT,,Valor no disponible,Valor no disponible,O,,,,
Turistes,Turistas,TURISTAS,Illes Balears,Illes Balears,ES53,01/2025,01/2025,2025-M01,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,276644,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,Mallorca,Mallorca,ES532,01/2025,01/2025,2025-M01,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,235664,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,Menorca,Menorca,ES533,01/2025,01/2025,2025-M01,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,13958,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,Eivissa i Formentera,Eivissa y Formentera,ES531,01/2025,01/2025,2025-M01,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,27023,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,Illes Balears,Illes Balears,ES53,01/2025,01/2025,2025-M01,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,5.59,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,Mallorca,Mallorca,ES532,01/2025,01/2025,2025-M01,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,6.68,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,Menorca,Menorca,ES533,01/2025,01/2025,2025-M01,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,23.32,Valor provisional,Valor provisional,P,,,,
