CPRO,PROVINCIA,code_mun,municipality,total,male,female,year
07,Balears (Illes),014,Capdepera,9297,4684,4613,2004
07,Balears (Illes),064,Castell (Es),7066,3588,3478,2004
07,Balears (Illes),015,Ciutadella de Menorca,26073,13037,13036,2004
07,Balears (Illes),016,Consell,2727,1382,1345,2004
07,Balears (Illes),017,Costitx,986,481,505,2004
07,Balears (Illes),018,Deyá,689,358,331,2004
07,Balears (Illes),026,Eivissa,40991,20823,20168,2004
07,Balears (Illes),019,Escorca,295,166,129,2004
07,Balears (Illes),020,Esporles,4363,2154,2209,2004
07,Balears (Illes),021,Estellencs,374,202,172,2004
07,Balears (Illes),022,Felanitx,16153,8238,7915,2004
07,Balears (Illes),023,Ferreries,4338,2243,2095,2004
07,Balears (Illes),024,Formentera,7131,3695,3436,2004
07,Balears (Illes),025,Fornalutx,679,341,338,2004
07,Balears (Illes),027,Inca,25900,13091,12809,2004
07,Balears (Illes),028,Lloret de Vistalegre,1107,568,539,2004
07,Balears (Illes),029,Lloseta,5180,2646,2534,2004
07,Balears (Illes),030,Llubí,1967,975,992,2004
07,Balears (Illes),031,Llucmajor,28591,14495,14096,2004
07,Balears (Illes),032,Mahón,26536,13115,13421,2004
07,Balears (Illes),033,Manacor,35512,17903,17609,2004
07,Balears (Illes),034,Mancor de la Vall,947,462,485,2004
07,Balears (Illes),035,Maria de la Salut,2043,1040,1003,2004
07,Balears (Illes),036,Marratxí,27145,13733,13412,2004
07,Balears (Illes),037,Mercadal (Es),3844,1992,1852,2004
07,Balears (Illes),902,Migjorn Gran (Es),1300,660,640,2004
07,Balears (Illes),038,Montuïri,2510,1261,1249,2004
07,Balears (Illes),039,Muro,6487,3309,3178,2004
07,Balears (Illes),040,Palma de Mallorca,368974,180814,188160,2004
07,Balears (Illes),041,Petra,2643,1322,1321,2004
07,Balears (Illes),044,Pobla (Sa),11442,5944,5498,2004
07,Balears (Illes),042,Pollença,15513,7790,7723,2004
07,Balears (Illes),043,Porreres,4519,2353,2166,2004
07,Balears (Illes),045,Puigpunyent,1446,753,693,2004
07,Balears (Illes),059,Salines (Ses),4151,2116,2035,2004
07,Balears (Illes),046,Sant Antoni de Portmany,17407,8952,8455,2004
07,Balears (Illes),049,Sant Joan,1821,923,898,2004
07,Balears (Illes),050,Sant Joan de Labritja,4611,2391,2220,2004
07,Balears (Illes),048,Sant Josep de sa Talaia,17385,9099,8286,2004
07,Balears (Illes),051,Sant Llorenç des Cardassar,7280,3721,3559,2004
07,Balears (Illes),052,Sant Lluís,5407,2728,2679,2004
07,Balears (Illes),053,Santa Eugènia,1384,726,658,2004
07,Balears (Illes),054,Santa Eulalia del Río,25826,13347,12479,2004
07,Balears (Illes),055,Santa Margalida,9266,4710,4556,2004
07,Balears (Illes),056,Santa María del Camí,5103,2559,2544,2004
07,Balears (Illes),057,Santanyí,10337,5260,5077,2004
07,Balears (Illes),058,Selva,3112,1531,1581,2004
07,Balears (Illes),047,Sencelles,2559,1305,1254,2004
07,Balears (Illes),060,Sineu,2927,1458,1469,2004
07,Balears (Illes),061,Sóller,12140,6103,6037,2004
07,Balears (Illes),062,Son Servera,10519,5381,5138,2004
07,Balears (Illes),063,Valldemossa,1822,917,905,2004
07,Balears (Illes),065,Vilafranca de Bonany,2563,1283,1280,2004
07,Balears (Illes),002,Alaior,8671,4378,4293,2005
07,Balears (Illes),001,Alaró,4707,2322,2385,2005
07,Balears (Illes),003,Alcúdia,15897,8190,7707,2005
07,Balears (Illes),004,Algaida,4258,2204,2054,2005
07,Balears (Illes),005,Andratx,9906,4963,4943,2005
07,Balears (Illes),901,Ariany,750,392,358,2005
07,Balears (Illes),006,Artà,6649,3361,3288,2005
07,Balears (Illes),007,Banyalbufar,568,321,247,2005
07,Balears (Illes),008,Binissalem,6326,3225,3101,2005
07,Balears (Illes),009,Búger,1016,515,501,2005
07,Balears (Illes),010,Bunyola,5475,2726,2749,2005
07,Balears (Illes),011,Calvià,43499,21958,21541,2005
07,Balears (Illes),012,Campanet,2515,1263,1252,2005
07,Balears (Illes),013,Campos,8122,4082,4040,2005
07,Balears (Illes),014,Capdepera,10245,5124,5121,2005
07,Balears (Illes),064,Castell (Es),7440,3802,3638,2005
07,Balears (Illes),015,Ciutadella de Menorca,26972,13520,13452,2005
07,Balears (Illes),016,Consell,2877,1445,1432,2005
07,Balears (Illes),017,Costitx,1004,496,508,2005
07,Balears (Illes),018,Deyá,708,375,333,2005
07,Balears (Illes),026,Eivissa,42797,21838,20959,2005
07,Balears (Illes),019,Escorca,293,167,126,2005
07,Balears (Illes),020,Esporles,4457,2205,2252,2005
07,Balears (Illes),021,Estellencs,386,207,179,2005
07,Balears (Illes),022,Felanitx,16566,8503,8063,2005
07,Balears (Illes),023,Ferreries,4416,2275,2141,2005
07,Balears (Illes),024,Formentera,7506,3934,3572,2005
07,Balears (Illes),025,Fornalutx,698,347,351,2005
07,Balears (Illes),027,Inca,26504,13454,13050,2005
07,Balears (Illes),028,Lloret de Vistalegre,1134,576,558,2005
07,Balears (Illes),029,Lloseta,5295,2736,2559,2005
07,Balears (Illes),030,Llubí,2030,1013,1017,2005
07,Balears (Illes),031,Llucmajor,29891,15169,14722,2005
07,Balears (Illes),032,Mahón,27669,13707,13962,2005
07,Balears (Illes),033,Manacor,35908,18080,17828,2005
07,Balears (Illes),034,Mancor de la Vall,980,480,500,2005
07,Balears (Illes),035,Maria de la Salut,2118,1097,1021,2005
07,Balears (Illes),036,Marratxí,28237,14271,13966,2005
07,Balears (Illes),037,Mercadal (Es),4255,2202,2053,2005
07,Balears (Illes),902,Migjorn Gran (Es),1409,700,709,2005
07,Balears (Illes),038,Montuïri,2594,1307,1287,2005
07,Balears (Illes),039,Muro,6610,3424,3186,2005
07,Balears (Illes),040,Palma de Mallorca,375773,183977,191796,2005
07,Balears (Illes),041,Petra,2707,1350,1357,2005
07,Balears (Illes),044,Pobla (Sa),11767,6115,5652,2005
07,Balears (Illes),042,Pollença,15987,8071,7916,2005
07,Balears (Illes),043,Porreres,4597,2413,2184,2005
07,Balears (Illes),045,Puigpunyent,1513,786,727,2005
07,Balears (Illes),059,Salines (Ses),4290,2201,2089,2005
07,Balears (Illes),046,Sant Antoni de Portmany,18366,9487,8879,2005
07,Balears (Illes),049,Sant Joan,1847,935,912,2005
